C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/27/2021,03:00:00,REGULAR,7537255,2570434
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,02/27/2021,01:00:00,REGULAR,4414499,7600574
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,02/27/2021,01:00:00,REGULAR,3638,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,02/27/2021,03:00:00,REGULAR,5081246,2962002
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,02/27/2021,03:00:00,REGULAR,481007,1613043
A013,R081,01-00-00,49 ST,NQRW,BMT,02/27/2021,03:00:00,REGULAR,6248354,38864877
A014,R081,02-00-00,49 ST,NQRW,BMT,02/27/2021,03:00:00,REGULAR,17917,9103
A015,R081,00-00-00,49 ST,NQRW,BMT,02/27/2021,03:00:00,REGULAR,13084898,4301656
A016,R081,03-00-00,49 ST,NQRW,BMT,02/27/2021,03:00:00,REGULAR,4070106,5042813
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,02/27/2021,03:00:00,REGULAR,9902525,12392523
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/27/2021,03:00:00,REGULAR,28738870,12141609
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/27/2021,03:00:00,REGULAR,5497954,10512410
A027,R082,01-00-00,28 ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,3918074,4768962
A029,R082,00-00-00,28 ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,4375273,15963005
A030,R083,01-00-00,23 ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,60639,66991
A031,R083,00-00-00,23 ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,1939106,1106506
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/27/2021,00:00:00,REGULAR,366073,1164346
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/27/2021,00:00:00,REGULAR,2276692,17814756
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/27/2021,00:00:00,REGULAR,228986,562732
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/27/2021,00:00:00,REGULAR,1209750,809834
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,02/27/2021,03:00:00,REGULAR,4036607,3595278
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,02/27/2021,03:00:00,REGULAR,6976,33753
A041,R086,00-00-00,PRINCE ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,12657132,4809042
A042,R086,01-00-00,PRINCE ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,1396584,9426037
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,02/27/2021,00:00:00,REGULAR,371729465,456606318
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,02/27/2021,00:00:00,REGULAR,4262703,426822
A047,R087,00-00-00,CITY HALL,NRW,BMT,02/27/2021,03:00:00,REGULAR,25140,31063
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,02/27/2021,00:00:00,REGULAR,902049,1376393
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,02/27/2021,00:00:00,REGULAR,1246,4779
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,02/27/2021,00:00:00,REGULAR,244148,247352
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,02/27/2021,00:00:00,REGULAR,1160752,652959
A054,R227,01-00-00,RECTOR ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,5558452,8066498
A055,R227,00-00-00,RECTOR ST,NRW,BMT,02/27/2021,03:00:00,REGULAR,1318365,508257
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,02/27/2021,00:00:00,REGULAR,1930504,4531755
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,02/27/2021,00:00:00,REGULAR,5263430,3009801
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,02/27/2021,00:00:00,REGULAR,14105066,12506526
A064,R311,00-00-00,BOWERY,JZ,BMT,02/27/2021,03:00:00,REGULAR,6156142,4358039
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,02/27/2021,00:00:00,REGULAR,1722734948,1763668697
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,02/27/2021,03:00:00,REGULAR,186155,1071218
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,02/27/2021,03:00:00,REGULAR,176593,99226
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,02/27/2021,02:00:00,REGULAR,401355,120368
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,02/27/2021,02:00:00,REGULAR,215252,1295477
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,02/27/2021,02:00:00,REGULAR,33554924,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,02/27/2021,00:00:00,REGULAR,5996621,2197480
A084,R125,01-00-00,BROAD ST,JZ,BMT,02/27/2021,00:00:00,REGULAR,308552,13541
A085,R125,02-05-00,BROAD ST,JZ,BMT,02/27/2021,00:00:00,REGULAR,0,1136
B004,R171,00-00-00,7 AV,BQ,BMT,02/27/2021,00:00:00,REGULAR,7786856,5805563
B009,R411,00-00-00,PARK PLACE,S,BMT,02/27/2021,00:00:00,REGULAR,6706437,5942043
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,02/27/2021,00:00:00,REGULAR,206975,328806
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,02/27/2021,03:00:00,REGULAR,1569273922,785964315
