C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,10/17/2020,00:00:00,REGULAR,7473531,2542751
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,10/17/2020,02:00:00,REGULAR,4348748,7494143
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,10/17/2020,02:00:00,REGULAR,3607,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,10/17/2020,00:00:00,REGULAR,5019935,2866742
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,10/17/2020,00:00:00,REGULAR,468327,1601067
A013,R081,01-00-00,49 ST,NQRW,BMT,10/17/2020,00:00:00,REGULAR,6237048,38766462
A014,R081,02-00-00,49 ST,NQRW,BMT,10/17/2020,00:00:00,REGULAR,3035701,1085180
A015,R081,00-00-00,49 ST,NQRW,BMT,10/17/2020,00:00:00,REGULAR,13060131,4284681
A016,R081,03-00-00,49 ST,NQRW,BMT,10/17/2020,00:00:00,REGULAR,4058664,4979977
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,10/17/2020,00:00:00,REGULAR,9796064,12228113
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/17/2020,00:00:00,REGULAR,28616233,12041767
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/17/2020,00:00:00,REGULAR,5402847,10311497
A027,R082,01-00-00,28 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,3886859,4702862
A029,R082,00-00-00,28 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,4363136,15868282
A030,R083,01-00-00,23 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,23645,26159
A031,R083,00-00-00,23 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,1891800,1071648
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/17/2020,01:00:00,REGULAR,351231,1095656
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/17/2020,01:00:00,REGULAR,2250577,17614276
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/17/2020,01:00:00,REGULAR,223978,552009
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/17/2020,01:00:00,REGULAR,1098118,711193
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,10/17/2020,00:00:00,REGULAR,4010991,3556084
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,10/17/2020,00:00:00,REGULAR,1622825,6978044
A041,R086,00-00-00,PRINCE ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,12595815,4780400
A042,R086,01-00-00,PRINCE ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,1389388,9347466
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,10/17/2020,01:00:00,REGULAR,371684478,456544185
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,10/17/2020,01:00:00,REGULAR,4255696,423337
A047,R087,00-00-00,CITY HALL,NRW,BMT,10/17/2020,00:00:00,REGULAR,16254,18840
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,10/17/2020,01:00:00,REGULAR,892948,1341660
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,10/17/2020,01:00:00,REGULAR,3962137,5649307
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,10/17/2020,01:00:00,REGULAR,231388,235205
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,10/17/2020,01:00:00,REGULAR,1155837,626577
A054,R227,01-00-00,RECTOR ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,5546114,8038722
A055,R227,00-00-00,RECTOR ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,1299302,502237
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,10/17/2020,01:00:00,REGULAR,1912862,4469848
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,10/17/2020,01:00:00,REGULAR,5161833,2968823
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,10/17/2020,01:00:00,REGULAR,14007775,12407574
A064,R311,00-00-00,BOWERY,JZ,BMT,10/17/2020,00:00:00,REGULAR,6123139,4315623
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,10/17/2020,01:00:00,REGULAR,1722837157,1763550497
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,10/17/2020,00:00:00,REGULAR,170423,948001
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,10/17/2020,00:00:00,REGULAR,173922,96685
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,10/17/2020,03:00:00,REGULAR,373594,107985
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,10/17/2020,03:00:00,REGULAR,212247,1265686
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,10/17/2020,03:00:00,REGULAR,33554914,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,10/17/2020,01:00:00,REGULAR,5957779,2189097
A084,R125,01-00-00,BROAD ST,JZ,BMT,10/17/2020,01:00:00,REGULAR,297351,11875
A085,R125,02-05-00,BROAD ST,JZ,BMT,10/17/2020,01:00:00,REGULAR,0,1127
B004,R171,00-00-00,7 AV,BQ,BMT,10/17/2020,01:00:00,REGULAR,7709040,5715790
B009,R411,00-00-00,PARK PLACE,S,BMT,10/17/2020,01:00:00,REGULAR,6683178,5910627
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,10/17/2020,01:00:00,REGULAR,178377,275062
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,10/17/2020,00:00:00,REGULAR,1569207461,786041521
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,10/17/2020,00:00:00,REGULAR,33083,128434
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,10/17/2020,01:00:00,REGULAR,10845847,17611469
B015,R098,01-00-00,CHURCH AV,BQ,BMT,10/17/2020,00:00:00,REGULAR,3526691,2113549
B016,R098,00-00-00,CHURCH AV,BQ,BMT,10/17/2020,00:00:00,REGULAR,9203469,18102753
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,10/17/2020,00:00:00,REGULAR,5027117,2513629
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,10/17/2020,00:00:00,REGULAR,11012,5074
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,10/17/2020,01:00:00,REGULAR,17999266,16995683
B020,R263,00-00-00,AVENUE H,BQ,BMT,10/17/2020,00:00:00,REGULAR,15703,7280
B021,R228,00-00-00,AVENUE J,BQ,BMT,10/17/2020,00:00:00,REGULAR,9482238,7970623
B022,R229,00-00-00,AVENUE M,BQ,BMT,10/17/2020,00:00:00,REGULAR,187,614
B023,R211,01-05-00,KINGS HWY,BQ,BMT,10/17/2020,00:00:00,REGULAR,872,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,10/17/2020,00:00:00,REGULAR,17134131,11175433
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,10/17/2020,00:00:00,REGULAR,211413,269604
B025,R150,00-00-00,AVENUE U,BQ,BMT,10/17/2020,01:00:00,REGULAR,6169941,3777719
B026,R230,00-00-00,NECK RD,BQ,BMT,10/17/2020,00:00:00,REGULAR,278252,391717
B027,R136,00-00-00,SHEEPSHEAD BAY,BQ,BMT,10/17/2020,01:00:00,REGULAR,2166854,8768090
B028,R136,01-00-00,SHEEPSHEAD BAY,BQ,BMT,10/17/2020,01:00:00,REGULAR,2071193,158203
B029,R172,00-00-00,BRIGHTON BEACH,BQ,BMT,10/17/2020,00:00:00,REGULAR,13838923,10443378
B031,R172,01-00-00,BRIGHTON BEACH,BQ,BMT,10/17/2020,00:00:00,REGULAR,6422236,8703990
B032,R264,00-00-00,OCEAN PKWY,Q,BMT,10/17/2020,00:00:00,REGULAR,334204,180941
B034,R264,01-05-00,OCEAN PKWY,Q,BMT,10/17/2020,00:00:00,REGULAR,5898560,5898330
C001,R108,01-00-00,BOROUGH HALL,R2345,BMT,10/17/2020,00:00:00,REGULAR,788442,546048
C003,R089,00-00-00,JAY ST-METROTEC,R,BMT,10/17/2020,00:00:00,REGULAR,11881686,10124336
C004,R089,01-05-00,JAY ST-METROTEC,R,BMT,10/17/2020,00:00:00,REGULAR,134218184,0
C008,R099,00-00-00,DEKALB AV,BDNQR,BMT,10/17/2020,00:00:00,REGULAR,1999692674,1850874191
C009,R057,03-00-00,ATL AV-BARCLAY,BDNQR2345,BMT,10/17/2020,00:00:00,REGULAR,594774,1297202
C010,R231,00-00-00,UNION ST,R,BMT,10/17/2020,00:00:00,REGULAR,6658431,2269209
C011,R231,01-00-00,UNION ST,R,BMT,10/17/2020,00:00:00,REGULAR,4178176,13598576
C012,R258,01-00-00,4AV-9 ST,DFGMNR,BMT,10/17/2020,00:00:00,REGULAR,11585213,4569602
C014,R246,00-00-00,PROSPECT AV,R,BMT,10/17/2020,00:00:00,REGULAR,13253239,3049264
C015,R246,01-00-00,PROSPECT AV,R,BMT,10/17/2020,00:00:00,REGULAR,1051993,11622579
C016,R278,00-00-00,25 ST,R,BMT,10/17/2020,00:00:00,REGULAR,1967248,1704783
C017,R455,00-00-00,25 ST,R,BMT,10/17/2020,00:00:00,REGULAR,4367911,8302172
C018,R197,00-00-00,36 ST,DNR,BMT,10/17/2020,01:00:00,REGULAR,6466690,8259132
C019,R232,00-00-00,45 ST,R,BMT,10/17/2020,00:00:00,REGULAR,5209668,8376446
C020,R233,00-00-00,53 ST,R,BMT,10/17/2020,00:00:00,REGULAR,11291383,5372209
C021,R212,00-00-00,59 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,9363870,4868419
C022,R212,01-00-00,59 ST,NRW,BMT,10/17/2020,00:00:00,REGULAR,602141,608770
C023,R213,00-00-00,BAY RIDGE AV,R,BMT,10/17/2020,00:00:00,REGULAR,3307226,3484521
C024,R214,00-00-00,77 ST,R,BMT,10/17/2020,00:00:00,REGULAR,9025908,2038812
C025,R215,00-00-00,86 ST,R,BMT,10/17/2020,00:00:00,REGULAR,285769,349010
C026,R215,01-05-00,86 ST,R,BMT,10/17/2020,00:00:00,REGULAR,458794,0
C027,R216,00-00-00,BAY RIDGE-95 ST,R,BMT,10/17/2020,00:00:00,REGULAR,5292798,7287901
C028,R216,01-05-00,BAY RIDGE-95 ST,R,BMT,10/17/2020,00:00:00,REGULAR,1291,0
D001,R390,01-00-00,8 AV,N,BMT,10/17/2020,01:00:00,REGULAR,221493,185753
D002,R390,00-00-00,8 AV,N,BMT,10/17/2020,01:00:00,REGULAR,172744,532410
D003,R391,00-00-00,FT HAMILTON PKY,N,BMT,10/17/2020,01:00:00,REGULAR,2901434,2943430
D004,R391,01-05-00,FT HAMILTON PKY,N,BMT,10/17/2020,01:00:00,REGULAR,232,0
D005,R398,00-00-00,NEW UTRECHT AV,ND,BMT,10/17/2020,01:00:00,REGULAR,115233,28352
D006,R398,01-05-00,NEW UTRECHT AV,ND,BMT,10/17/2020,01:00:00,REGULAR,934,0
D008,R392,00-00-00,18 AV,N,BMT,10/17/2020,01:00:00,REGULAR,8021146,7861764
D009,R393,00-00-00,20 AV,N,BMT,10/17/2020,01:00:00,REGULAR,304186,242576
D010,R394,00-00-00,BAY PKWY,N,BMT,10/17/2020,01:00:00,REGULAR,3222539,795932
D011,R394,01-05-00,BAY PKWY,N,BMT,10/17/2020,01:00:00,REGULAR,575996146,672530542
D012,R395,00-00-00,KINGS HWY,N,BMT,10/17/2020,01:00:00,REGULAR,4460479,4956023
D015,R396,00-00-00,AVENUE U,N,BMT,10/17/2020,01:00:00,REGULAR,4099871,5780544
D016,R397,00-00-00,86 ST,N,BMT,10/17/2020,01:00:00,REGULAR,168504,466418
E001,R368,00-00-00,9 AV,D,BMT,10/17/2020,01:00:00,REGULAR,8998189,11094967
E003,R369,00-00-00,FT HAMILTON PKY,D,BMT,10/17/2020,01:00:00,REGULAR,2113672,951999
E004,R234,00-00-00,50 ST,D,BMT,10/17/2020,00:00:00,REGULAR,6168934,5732014
E005,R247,00-00-00,55 ST,D,BMT,10/17/2020,00:00:00,REGULAR,7351471,4191645
E009,R370,00-00-00,71 ST,D,BMT,10/17/2020,00:00:00,REGULAR,8484588,7759933
E011,R371,00-00-00,79 ST,D,BMT,10/17/2020,00:00:00,REGULAR,11850146,9168812
E012,R372,00-00-00,18 AV,D,BMT,10/17/2020,00:00:00,REGULAR,15428153,11561358
E013,R373,00-00-00,20 AV,D,BMT,10/17/2020,00:00:00,REGULAR,56800,15458
E014,R374,00-00-00,BAY PKWY,D,BMT,10/17/2020,01:00:00,REGULAR,15298831,12322635
E015,R399,00-00-00,25 AV,D,BMT,10/17/2020,01:00:00,REGULAR,3937203,838750
E016,R400,00-00-00,BAY 50 ST,D,BMT,10/17/2020,01:00:00,REGULAR,8060866,6968433
G001,R151,00-00-00,CONEY IS-STILLW,DFNQ,BMT,10/17/2020,01:00:00,REGULAR,1522445,2661156
G009,R151,02-00-00,CONEY IS-STILLW,DFNQ,BMT,10/17/2020,01:00:00,REGULAR,17239576,176565
G011,R312,00-00-00,W 8 ST-AQUARIUM,FQ,BMT,10/17/2020,00:00:00,REGULAR,4398171,9575024
G015,R312,01-05-00,W 8 ST-AQUARIUM,FQ,BMT,10/17/2020,00:00:00,REGULAR,1384,0
H001,R175,00-00-00,8 AV,ACEL,BMT,10/17/2020,01:00:00,REGULAR,475799373,1399936159
H003,R163,01-00-00,6 AV,FLM123,BMT,10/17/2020,00:00:00,REGULAR,8169927,10212093
H005,R330,00-00-00,3 AV,L,BMT,10/17/2020,00:00:00,REGULAR,3363624,9450508
H006,R330,01-00-00,3 AV,L,BMT,10/17/2020,00:00:00,REGULAR,8053134,2607878
H007,R248,00-00-00,1 AV,L,BMT,10/17/2020,00:00:00,REGULAR,15486443,17452653
H007A,R248,02-00-00,1 AV,L,BMT,10/17/2020,00:00:00,REGULAR,141740,23776
H008,R248,01-00-00,1 AV,L,BMT,10/17/2020,00:00:00,REGULAR,307337,5048166
H009,R235,00-00-00,BEDFORD AV,L,BMT,10/17/2020,00:00:00,REGULAR,356287,62366
H010,R235,01-00-00,BEDFORD AV,L,BMT,10/17/2020,00:00:00,REGULAR,1976250,5380142
H012,R268,01-00-00,LORIMER ST,LG,BMT,10/17/2020,01:00:00,REGULAR,168321,61210
H013,R249,01-00-00,GRAHAM AV,L,BMT,10/17/2020,00:00:00,REGULAR,7595615,1330404
H014,R249,00-00-00,GRAHAM AV,L,BMT,10/17/2020,00:00:00,REGULAR,2160765,12746629
H015,R250,01-00-00,GRAND ST,L,BMT,10/17/2020,00:00:00,REGULAR,7634906,4215859
H016,R250,00-00-00,GRAND ST,L,BMT,10/17/2020,00:00:00,REGULAR,1451874,4390612
H017,R265,00-00-00,MONTROSE AV,L,BMT,10/17/2020,00:00:00,REGULAR,7731855,8826893
H019,R294,00-00-00,MORGAN AV,L,BMT,10/17/2020,00:00:00,REGULAR,25550,32015
H022,R279,00-00-00,JEFFERSON ST,L,BMT,10/17/2020,00:00:00,REGULAR,7981285,5635416
H023,R236,00-00-00,DEKALB AV,L,BMT,10/17/2020,00:00:00,REGULAR,5373116,2009257
H026,R137,00-00-00,MYRTLE-WYCKOFF,LM,BMT,10/17/2020,00:00:00,REGULAR,7733043,18911968
H027,R137,01-00-00,MYRTLE-WYCKOFF,LM,BMT,10/17/2020,00:00:00,REGULAR,11009448,6339388
H028,R266,00-00-00,HALSEY ST,L,BMT,10/17/2020,00:00:00,REGULAR,5841413,2968831
H030,R266,01-00-00,HALSEY ST,L,BMT,10/17/2020,00:00:00,REGULAR,1676755,3839144
H032,R295,00-00-00,WILSON AV,L,BMT,10/17/2020,00:00:00,REGULAR,4883909,6539624
H033,R313,00-00-00,BUSHWICK AV,L,BMT,10/17/2020,00:00:00,REGULAR,4311321,4063012
H035,R348,00-00-00,ATLANTIC AV,L,BMT,10/17/2020,00:00:00,REGULAR,1094836,243691
H037,R349,00-00-00,SUTTER AV,L,BMT,10/17/2020,01:00:00,REGULAR,2388358,2632453
H038,R350,00-00-00,LIVONIA AV,L,BMT,10/17/2020,01:00:00,REGULAR,101465,102428
H039,R375,00-00-00,NEW LOTS,L,BMT,10/17/2020,01:00:00,REGULAR,3993096,5407508
H040,R376,00-00-00,EAST 105 ST,L,BMT,10/17/2020,01:00:00,REGULAR,9680752,7916006
H041,R152,00-00-00,CANARSIE-ROCKAW,L,BMT,10/17/2020,01:00:00,REGULAR,27983,22465
