C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/19/2020,03:00:00,REGULAR,7505644,2556326
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,12/19/2020,01:00:00,REGULAR,4383182,7546863
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,12/19/2020,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,12/19/2020,03:00:00,REGULAR,5049735,2916526
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,12/19/2020,03:00:00,REGULAR,475359,1606927
A013,R081,01-00-00,49 ST,NQRW,BMT,12/19/2020,03:00:00,REGULAR,6242571,38815310
A014,R081,02-00-00,49 ST,NQRW,BMT,12/19/2020,03:00:00,REGULAR,3054579,1093739
A015,R081,00-00-00,49 ST,NQRW,BMT,12/19/2020,03:00:00,REGULAR,13072508,4292988
A016,R081,03-00-00,49 ST,NQRW,BMT,12/19/2020,03:00:00,REGULAR,4064700,5010878
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,12/19/2020,03:00:00,REGULAR,9849026,12306556
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/19/2020,03:00:00,REGULAR,28675602,12090469
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/19/2020,03:00:00,REGULAR,5451965,10413218
A027,R082,01-00-00,28 ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,3903062,4734993
A029,R082,00-00-00,28 ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,4369481,15915387
A030,R083,01-00-00,23 ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,42548,46031
A031,R083,00-00-00,23 ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,1911705,1089032
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/19/2020,00:00:00,REGULAR,358816,1132129
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/19/2020,00:00:00,REGULAR,2264237,17717127
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/19/2020,00:00:00,REGULAR,226524,557229
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/19/2020,00:00:00,REGULAR,1155758,760469
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,12/19/2020,03:00:00,REGULAR,4024620,3577095
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,12/19/2020,03:00:00,REGULAR,1630581,7015080
A041,R086,00-00-00,PRINCE ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,12626624,4793880
A042,R086,01-00-00,PRINCE ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,1392909,9386912
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,12/19/2020,00:00:00,REGULAR,371707554,456575236
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,12/19/2020,00:00:00,REGULAR,4258559,424723
A047,R087,00-00-00,CITY HALL,NRW,BMT,12/19/2020,03:00:00,REGULAR,20621,24716
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,12/19/2020,00:00:00,REGULAR,897060,1357975
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,12/19/2020,00:00:00,REGULAR,378,1337
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,12/19/2020,00:00:00,REGULAR,237695,240725
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,12/19/2020,00:00:00,REGULAR,1158068,639777
A054,R227,01-00-00,RECTOR ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,5552214,8051869
A055,R227,00-00-00,RECTOR ST,NRW,BMT,12/19/2020,03:00:00,REGULAR,1308546,505120
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,12/19/2020,00:00:00,REGULAR,1921856,4502346
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,12/19/2020,00:00:00,REGULAR,5211681,2989136
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,12/19/2020,00:00:00,REGULAR,14056366,12454353
A064,R311,00-00-00,BOWERY,JZ,BMT,12/19/2020,03:00:00,REGULAR,6141072,4334024
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,12/19/2020,00:00:00,REGULAR,1722783220,1763605627
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,12/19/2020,03:00:00,REGULAR,178557,1010149
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,12/19/2020,03:00:00,REGULAR,175164,98042
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,12/19/2020,02:00:00,REGULAR,387751,113853
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,12/19/2020,02:00:00,REGULAR,213813,1280763
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,12/19/2020,02:00:00,REGULAR,33554919,16777216
