C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/23/2021,03:00:00,REGULAR,7521371,2563177
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,01/23/2021,01:00:00,REGULAR,4400353,7573274
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,01/23/2021,01:00:00,REGULAR,3614,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,01/23/2021,03:00:00,REGULAR,5065127,2939208
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,01/23/2021,03:00:00,REGULAR,478526,1609802
A013,R081,01-00-00,49 ST,NQRW,BMT,01/23/2021,03:00:00,REGULAR,6245371,38840566
A014,R081,02-00-00,49 ST,NQRW,BMT,01/23/2021,03:00:00,REGULAR,8378,4327
A015,R081,00-00-00,49 ST,NQRW,BMT,01/23/2021,03:00:00,REGULAR,13079171,4297505
A016,R081,03-00-00,49 ST,NQRW,BMT,01/23/2021,03:00:00,REGULAR,4067429,5026344
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,01/23/2021,03:00:00,REGULAR,9875308,12349622
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/23/2021,03:00:00,REGULAR,28708120,12116930
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/23/2021,03:00:00,REGULAR,5476146,10463827
A027,R082,01-00-00,28 ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,3910435,4750761
A029,R082,00-00-00,28 ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,4372456,15938356
A030,R083,01-00-00,23 ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,51487,56000
A031,R083,00-00-00,23 ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,1925241,1097233
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/23/2021,00:00:00,REGULAR,362524,1149208
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/23/2021,00:00:00,REGULAR,2270689,17765636
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/23/2021,00:00:00,REGULAR,227676,559956
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/23/2021,00:00:00,REGULAR,1183722,784273
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,01/23/2021,03:00:00,REGULAR,4030262,3585224
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,01/23/2021,03:00:00,REGULAR,3106,14768
A041,R086,00-00-00,PRINCE ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,12642339,4801548
A042,R086,01-00-00,PRINCE ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,1394740,9406599
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,01/23/2021,00:00:00,REGULAR,371718835,456590983
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,01/23/2021,00:00:00,REGULAR,4260537,425724
A047,R087,00-00-00,CITY HALL,NRW,BMT,01/23/2021,03:00:00,REGULAR,22855,27710
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,01/23/2021,00:00:00,REGULAR,899627,1366943
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,01/23/2021,00:00:00,REGULAR,803,3045
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,01/23/2021,00:00:00,REGULAR,240940,244086
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,01/23/2021,00:00:00,REGULAR,1159533,646171
A054,R227,01-00-00,RECTOR ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,5555218,8058805
A055,R227,00-00-00,RECTOR ST,NRW,BMT,01/23/2021,03:00:00,REGULAR,1313395,506731
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,01/23/2021,00:00:00,REGULAR,1925944,4516152
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,01/23/2021,00:00:00,REGULAR,5237968,2999550
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,01/23/2021,00:00:00,REGULAR,14079538,12479578
A064,R311,00-00-00,BOWERY,JZ,BMT,01/23/2021,03:00:00,REGULAR,6148597,4345837
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,01/23/2021,00:00:00,REGULAR,1722758427,1763636205
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,01/23/2021,03:00:00,REGULAR,182175,1039104
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,01/23/2021,03:00:00,REGULAR,175879,98632
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,01/23/2021,02:00:00,REGULAR,394264,116945
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,01/23/2021,02:00:00,REGULAR,214593,1287840
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,01/23/2021,02:00:00,REGULAR,33554919,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,01/23/2021,00:00:00,REGULAR,5986762,2195258
A084,R125,01-00-00,BROAD ST,JZ,BMT,01/23/2021,00:00:00,REGULAR,305708,13040
A085,R125,02-05-00,BROAD ST,JZ,BMT,01/23/2021,00:00:00,REGULAR,0,1132
B004,R171,00-00-00,7 AV,BQ,BMT,01/23/2021,00:00:00,REGULAR,7767355,5782226
B009,R411,00-00-00,PARK PLACE,S,BMT,01/23/2021,00:00:00,REGULAR,6700968,5933835
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,01/23/2021,00:00:00,REGULAR,199937,315574
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,01/23/2021,03:00:00,REGULAR,1569257281,785983663
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,01/23/2021,03:00:00,REGULAR,61305,235180
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,01/23/2021,00:00:00,REGULAR,10889374,17720625
B015,R098,01-00-00,CHURCH AV,BQ,BMT,01/23/2021,03:00:00,REGULAR,3540627,2129257
B016,R098,00-00-00,CHURCH AV,BQ,BMT,01/23/2021,03:00:00,REGULAR,9234930,18187612
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,01/23/2021,03:00:00,REGULAR,5077239,2541322
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,01/23/2021,03:00:00,REGULAR,92923,45450
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,01/23/2021,00:00:00,REGULAR,18095297,17082344
B020,R263,00-00-00,AVENUE H,BQ,BMT,01/23/2021,03:00:00,REGULAR,32600,14690
B021,R228,00-00-00,AVENUE J,BQ,BMT,01/23/2021,03:00:00,REGULAR,9501675,8005217
B022,R229,00-00-00,AVENUE M,BQ,BMT,01/23/2021,03:00:00,REGULAR,10254,30245
B023,R211,01-05-00,KINGS HWY,BQ,BMT,01/23/2021,03:00:00,REGULAR,872,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,01/23/2021,03:00:00,REGULAR,17243259,11246805
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,01/23/2021,03:00:00,REGULAR,229815,290959
B025,R150,00-00-00,AVENUE U,BQ,BMT,01/23/2021,00:00:00,REGULAR,6242307,3824319
B026,R230,00-00-00,NECK RD,BQ,BMT,01/23/2021,03:00:00,REGULAR,291993,413011
B027,R136,00-00-00,SHEEPSHEAD BAY,BQ,BMT,01/23/2021,00:00:00,REGULAR,2195991,8907316
B028,R136,01-00-00,SHEEPSHEAD BAY,BQ,BMT,01/23/2021,00:00:00,REGULAR,2085005,219241
B029,R172,00-00-00,BRIGHTON BEACH,BQ,BMT,01/23/2021,03:00:00,REGULAR,13891693,10490436
B031,R172,01-00-00,BRIGHTON BEACH,BQ,BMT,01/23/2021,03:00:00,REGULAR,6450483,8768830
B032,R264,00-00-00,OCEAN PKWY,Q,BMT,01/23/2021,03:00:00,REGULAR,25935,16194
B034,R264,01-05-00,OCEAN PKWY,Q,BMT,01/23/2021,03:00:00,REGULAR,5898560,5898330
C001,R108,01-00-00,BOROUGH HALL,R2345,BMT,01/23/2021,03:00:00,REGULAR,809406,565851
C003,R089,00-00-00,JAY ST-METROTEC,R,BMT,01/23/2021,03:00:00,REGULAR,11894477,10138277
C004,R089,01-05-00,JAY ST-METROTEC,R,BMT,01/23/2021,03:00:00,REGULAR,134218209,0
C008,R099,00-00-00,DEKALB AV,BDNQR,BMT,01/23/2021,03:00:00,REGULAR,1999634282,1850935727
C009,R057,03-00-00,ATL AV-BARCLAY,BDNQR2345,BMT,01/23/2021,03:00:00,REGULAR,658011,1395306
C010,R231,00-00-00,UNION ST,R,BMT,01/23/2021,03:00:00,REGULAR,6705166,2300868
C011,R231,01-00-00,UNION ST,R,BMT,01/23/2021,03:00:00,REGULAR,4198112,13669091
C012,R258,01-00-00,4AV-9 ST,DFGMNR,BMT,01/23/2021,03:00:00,REGULAR,11619388,4588618
C014,R246,00-00-00,PROSPECT AV,R,BMT,01/23/2021,03:00:00,REGULAR,13282425,3068333
C015,R246,01-00-00,PROSPECT AV,R,BMT,01/23/2021,03:00:00,REGULAR,1058561,11678246
C016,R278,00-00-00,25 ST,R,BMT,01/23/2021,03:00:00,REGULAR,1979000,1729664
C017,R455,00-00-00,25 ST,R,BMT,01/23/2021,03:00:00,REGULAR,4385180,8350667
C018,R197,00-00-00,36 ST,DNR,BMT,01/23/2021,00:00:00,REGULAR,97281,148261
