C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/06/2021,03:00:00,REGULAR,7540642,2572027
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,03/06/2021,01:00:00,REGULAR,4418091,7606514
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,03/06/2021,01:00:00,REGULAR,3640,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,03/06/2021,03:00:00,REGULAR,5084840,2966911
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,03/06/2021,03:00:00,REGULAR,481669,1613740
A013,R081,01-00-00,49 ST,NQRW,BMT,03/06/2021,03:00:00,REGULAR,6249074,38870190
A014,R081,02-00-00,49 ST,NQRW,BMT,03/06/2021,03:00:00,REGULAR,20057,10085
A015,R081,00-00-00,49 ST,NQRW,BMT,03/06/2021,03:00:00,REGULAR,13086283,4302605
A016,R081,03-00-00,49 ST,NQRW,BMT,03/06/2021,03:00:00,REGULAR,4070752,5046600
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,03/06/2021,03:00:00,REGULAR,9908547,12402166
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/06/2021,03:00:00,REGULAR,28745679,12146954
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/06/2021,03:00:00,REGULAR,5502958,10523283
A027,R082,01-00-00,28 ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,3919746,4772882
A029,R082,00-00-00,28 ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,4375900,15968337
A030,R083,01-00-00,23 ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,62677,69365
A031,R083,00-00-00,23 ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,1942257,1108451
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/06/2021,00:00:00,REGULAR,366847,1168093
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/06/2021,00:00:00,REGULAR,2278048,17825847
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/06/2021,00:00:00,REGULAR,229349,563361
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/06/2021,00:00:00,REGULAR,1215493,815446
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,03/06/2021,03:00:00,REGULAR,4037988,3597602
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,03/06/2021,03:00:00,REGULAR,7854,38027
A041,R086,00-00-00,PRINCE ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,12659899,4810575
A042,R086,01-00-00,PRINCE ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,1397008,9430210
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,03/06/2021,00:00:00,REGULAR,371731640,456609609
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,03/06/2021,00:00:00,REGULAR,4263185,427051
A047,R087,00-00-00,CITY HALL,NRW,BMT,03/06/2021,03:00:00,REGULAR,25677,31934
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,03/06/2021,00:00:00,REGULAR,902543,1378410
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,03/06/2021,00:00:00,REGULAR,1352,5130
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,03/06/2021,00:00:00,REGULAR,244874,248087
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,03/06/2021,00:00:00,REGULAR,1161047,654472
A054,R227,01-00-00,RECTOR ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,5559173,8068245
A055,R227,00-00-00,RECTOR ST,NRW,BMT,03/06/2021,03:00:00,REGULAR,1319500,508607
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,03/06/2021,00:00:00,REGULAR,1931543,4535082
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,03/06/2021,00:00:00,REGULAR,5269215,3012116
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,03/06/2021,00:00:00,REGULAR,14109604,12512489
