C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/26/2020,03:00:00,REGULAR,7508509,2557569
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,12/26/2020,01:00:00,REGULAR,4386497,7551844
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,12/26/2020,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,12/26/2020,03:00:00,REGULAR,5052721,2921271
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,12/26/2020,03:00:00,REGULAR,475872,1607423
A013,R081,01-00-00,49 ST,NQRW,BMT,12/26/2020,03:00:00,REGULAR,6243120,38820883
A014,R081,02-00-00,49 ST,NQRW,BMT,12/26/2020,03:00:00,REGULAR,969,472
A015,R081,00-00-00,49 ST,NQRW,BMT,12/26/2020,03:00:00,REGULAR,13073945,4293854
A016,R081,03-00-00,49 ST,NQRW,BMT,12/26/2020,03:00:00,REGULAR,4065316,5013880
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,12/26/2020,03:00:00,REGULAR,9853724,12314090
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/26/2020,03:00:00,REGULAR,28682179,12096211
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/26/2020,03:00:00,REGULAR,5456544,10423423
A027,R082,01-00-00,28 ST,NRW,BMT,12/26/2020,03:00:00,REGULAR,3904402,4737872
A029,R082,00-00-00,28 ST,NRW,BMT,12/26/2020,03:00:00,REGULAR,4370044,15919652
A030,R083,01-00-00,23 ST,NRW,BMT,12/26/2020,03:00:00,REGULAR,44275,47909
A031,R083,00-00-00,23 ST,NRW,BMT,12/26/2020,03:00:00,REGULAR,1914162,1090587
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/26/2020,00:00:00,REGULAR,359598,1135769
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/26/2020,00:00:00,REGULAR,2265602,17727563
