C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/28/2020,03:00:00,REGULAR,7495312,2551701
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,11/28/2020,01:00:00,REGULAR,4371492,7529235
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,11/28/2020,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,11/28/2020,03:00:00,REGULAR,5038969,2901775
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,11/28/2020,03:00:00,REGULAR,473270,1604922
A013,R081,01-00-00,49 ST,NQRW,BMT,11/28/2020,03:00:00,REGULAR,6240699,38798747
A014,R081,02-00-00,49 ST,NQRW,BMT,11/28/2020,03:00:00,REGULAR,3048452,1090723
A015,R081,00-00-00,49 ST,NQRW,BMT,11/28/2020,03:00:00,REGULAR,13068390,4290208
A016,R081,03-00-00,49 ST,NQRW,BMT,11/28/2020,03:00:00,REGULAR,4062860,5000895
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,11/28/2020,03:00:00,REGULAR,9831716,12281069
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/28/2020,03:00:00,REGULAR,28654984,12074425
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/28/2020,03:00:00,REGULAR,5436539,10381054
A027,R082,01-00-00,28 ST,NRW,BMT,11/28/2020,03:00:00,REGULAR,3897670,4724433
A029,R082,00-00-00,28 ST,NRW,BMT,11/28/2020,03:00:00,REGULAR,4367390,15899849
A030,R083,01-00-00,23 ST,NRW,BMT,11/28/2020,03:00:00,REGULAR,36408,39575
A031,R083,00-00-00,23 ST,NRW,BMT,11/28/2020,03:00:00,REGULAR,1903093,1083427
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/28/2020,00:00:00,REGULAR,356405,1120917
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/28/2020,00:00:00,REGULAR,2260130,17685205
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/28/2020,00:00:00,REGULAR,225786,555579
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/28/2020,00:00:00,REGULAR,1137300,744598
