C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,10/10/2020,00:00:00,REGULAR,7470170,2541278
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,10/10/2020,02:00:00,REGULAR,4344979,7488549
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,10/10/2020,02:00:00,REGULAR,3606,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,10/10/2020,00:00:00,REGULAR,5016146,2861583
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,10/10/2020,00:00:00,REGULAR,467555,1600351
A013,R081,01-00-00,49 ST,NQRW,BMT,10/10/2020,00:00:00,REGULAR,6236438,38761187
A014,R081,02-00-00,49 ST,NQRW,BMT,10/10/2020,00:00:00,REGULAR,3033625,1084281
A015,R081,00-00-00,49 ST,NQRW,BMT,10/10/2020,00:00:00,REGULAR,13058729,4283695
A016,R081,03-00-00,49 ST,NQRW,BMT,10/10/2020,00:00:00,REGULAR,4057959,4976494
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,10/10/2020,00:00:00,REGULAR,9789900,12219171
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/10/2020,00:00:00,REGULAR,28606833,12036617
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/10/2020,00:00:00,REGULAR,5397201,10299624
A027,R082,01-00-00,28 ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,3885161,4699301
A029,R082,00-00-00,28 ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,4362405,15863091
A030,R083,01-00-00,23 ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,21513,24032
A031,R083,00-00-00,23 ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,1889098,1069558
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/10/2020,01:00:00,REGULAR,350123,1091557
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/10/2020,01:00:00,REGULAR,2249082,17603010
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/10/2020,01:00:00,REGULAR,223707,551374
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/10/2020,01:00:00,REGULAR,1091694,705916
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,10/10/2020,00:00:00,REGULAR,4009332,3552969
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,10/10/2020,00:00:00,REGULAR,1621916,6973749
A041,R086,00-00-00,PRINCE ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,12593170,4779151
A042,R086,01-00-00,PRINCE ST,NRW,BMT,10/10/2020,00:00:00,REGULAR,1389000,9342902
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,10/10/2020,01:00:00,REGULAR,371682003,456541573
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,10/10/2020,01:00:00,REGULAR,4255409,423187
A047,R087,00-00-00,CITY HALL,NRW,BMT,10/10/2020,00:00:00,REGULAR,15750,18096
