C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,10/31/2020,00:00:00,REGULAR,7481098,2545767
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,10/31/2020,02:00:00,REGULAR,4356658,7506415
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,10/31/2020,02:00:00,REGULAR,3607,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,10/31/2020,00:00:00,REGULAR,5027312,2878034
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,10/31/2020,00:00:00,REGULAR,470067,1602470
A013,R081,01-00-00,49 ST,NQRW,BMT,10/31/2020,00:00:00,REGULAR,6238327,38777921
A014,R081,02-00-00,49 ST,NQRW,BMT,10/31/2020,00:00:00,REGULAR,3040013,1087120
A015,R081,00-00-00,49 ST,NQRW,BMT,10/31/2020,00:00:00,REGULAR,13063179,4286637
A016,R081,03-00-00,49 ST,NQRW,BMT,10/31/2020,00:00:00,REGULAR,4060052,4987389
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,10/31/2020,00:00:00,REGULAR,9808483,12246136
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/31/2020,00:00:00,REGULAR,28632169,12052221
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/31/2020,00:00:00,REGULAR,5414677,10335342
A027,R082,01-00-00,28 ST,NRW,BMT,10/31/2020,00:00:00,REGULAR,3890504,4710334
A029,R082,00-00-00,28 ST,NRW,BMT,10/31/2020,00:00:00,REGULAR,4364654,15879205
A030,R083,01-00-00,23 ST,NRW,BMT,10/31/2020,00:00:00,REGULAR,28127,30740
A031,R083,00-00-00,23 ST,NRW,BMT,10/31/2020,00:00:00,REGULAR,1891800,1075947
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/31/2020,01:00:00,REGULAR,353088,1104656
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/31/2020,01:00:00,REGULAR,2254037,17639058
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/31/2020,01:00:00,REGULAR,224618,553293
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/31/2020,01:00:00,REGULAR,1111725,722729
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,10/31/2020,00:00:00,REGULAR,4014823,3562840
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,10/31/2020,00:00:00,REGULAR,1624751,6986936
A041,R086,00-00-00,PRINCE ST,NRW,BMT,10/31/2020,00:00:00,REGULAR,12601975,4783376
A042,R086,01-00-00,PRINCE ST,NRW,BMT,10/31/2020,00:00:00,RECOVR AUD,1390281,9357052
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,10/31/2020,01:00:00,REGULAR,371689842,456551544
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,10/31/2020,01:00:00,REGULAR,4256161,423548
