C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/09/2021,03:00:00,REGULAR,7514863,2560314
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,01/09/2021,01:00:00,REGULAR,4393260,7562493
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,01/09/2021,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,01/09/2021,03:00:00,REGULAR,5058733,2929876
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,01/09/2021,03:00:00,REGULAR,477093,1608551
A013,R081,01-00-00,49 ST,NQRW,BMT,01/09/2021,03:00:00,REGULAR,6244215,38831444
A014,R081,02-00-00,49 ST,NQRW,BMT,01/09/2021,03:00:00,REGULAR,4589,2405
A015,R081,00-00-00,49 ST,NQRW,BMT,01/09/2021,03:00:00,REGULAR,13076828,4295782
A016,R081,03-00-00,49 ST,NQRW,BMT,01/09/2021,03:00:00,REGULAR,4066404,5019937
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,01/09/2021,03:00:00,REGULAR,9863845,12330643
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/09/2021,03:00:00,REGULAR,28695201,12106970
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/09/2021,03:00:00,REGULAR,5466031,10443103
A027,R082,01-00-00,28 ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,3907268,4743923
A029,R082,00-00-00,28 ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,4371220,15928557
A030,R083,01-00-00,23 ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,47698,51717
A031,R083,00-00-00,23 ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,1919349,1093714
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/09/2021,00:00:00,REGULAR,361050,1142001
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/09/2021,00:00:00,REGULAR,2268049,17745990
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/09/2021,00:00:00,REGULAR,227184,558771
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/09/2021,00:00:00,REGULAR,1172619,774441
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,01/09/2021,03:00:00,REGULAR,4027862,3581698
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,01/09/2021,03:00:00,REGULAR,1704,7726
A041,R086,00-00-00,PRINCE ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,12636181,4798459
A042,R086,01-00-00,PRINCE ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,1393977,9398984
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,01/09/2021,00:00:00,REGULAR,371714550,456584298
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,01/09/2021,00:00:00,REGULAR,4259712,425303
A047,R087,00-00-00,CITY HALL,NRW,BMT,01/09/2021,03:00:00,REGULAR,21876,26473
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,01/09/2021,00:00:00,REGULAR,898593,1363180
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,01/09/2021,00:00:00,REGULAR,648,2316
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,01/09/2021,00:00:00,REGULAR,239576,242756
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,01/09/2021,00:00:00,REGULAR,1158963,643528
A054,R227,01-00-00,RECTOR ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,5553877,8055837
A055,R227,00-00-00,RECTOR ST,NRW,BMT,01/09/2021,03:00:00,REGULAR,1311227,506059
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,01/09/2021,00:00:00,REGULAR,1924098,4510248
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,01/09/2021,00:00:00,REGULAR,5227253,2995255
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,01/09/2021,00:00:00,REGULAR,14069153,12468498
A064,R311,00-00-00,BOWERY,JZ,BMT,01/09/2021,03:00:00,REGULAR,6145918,4340925
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,01/09/2021,00:00:00,REGULAR,1722768676,1763622992
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,01/09/2021,03:00:00,REGULAR,180831,1027326
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,01/09/2021,03:00:00,REGULAR,175572,98395
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,01/09/2021,02:00:00,REGULAR,391375,115618
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,01/09/2021,02:00:00,REGULAR,214275,1284811
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,01/09/2021,02:00:00,REGULAR,33554919,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,01/09/2021,00:00:00,REGULAR,5982744,2194349
A084,R125,01-00-00,BROAD ST,JZ,BMT,01/09/2021,00:00:00,REGULAR,304590,12871
A085,R125,02-05-00,BROAD ST,JZ,BMT,01/09/2021,00:00:00,REGULAR,0,1131
B004,R171,00-00-00,7 AV,BQ,BMT,01/09/2021,00:00:00,REGULAR,7759445,5772926
B009,R411,00-00-00,PARK PLACE,S,BMT,01/09/2021,00:00:00,REGULAR,6698484,5930622
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,01/09/2021,00:00:00,REGULAR,197170,310225
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,01/09/2021,03:00:00,REGULAR,1569250361,785991662
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,01/09/2021,03:00:00,REGULAR,57189,219570
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,01/09/2021,00:00:00,REGULAR,10883100,17704745
B015,R098,01-00-00,CHURCH AV,BQ,BMT,01/09/2021,03:00:00,REGULAR,3538610,2126726
B016,R098,00-00-00,CHURCH AV,BQ,BMT,01/09/2021,03:00:00,REGULAR,9230625,18175573
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,01/09/2021,03:00:00,REGULAR,5070434,2537543
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,01/09/2021,03:00:00,REGULAR,81726,39774
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,01/09/2021,00:00:00,REGULAR,18081823,17069980
B020,R263,00-00-00,AVENUE H,BQ,BMT,01/09/2021,03:00:00,REGULAR,30371,13668
B021,R228,00-00-00,AVENUE J,BQ,BMT,01/09/2021,03:00:00,REGULAR,9499136,8000212
B022,R229,00-00-00,AVENUE M,BQ,BMT,01/09/2021,03:00:00,REGULAR,8526,26043
B023,R211,01-05-00,KINGS HWY,BQ,BMT,01/09/2021,03:00:00,REGULAR,872,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,01/09/2021,03:00:00,REGULAR,17226951,11236549
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,01/09/2021,03:00:00,REGULAR,227377,288053
B025,R150,00-00-00,AVENUE U,BQ,BMT,01/09/2021,00:00:00,REGULAR,6230841,3817838
