C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2021,03:00:00,REGULAR,7524539,2564693
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,01/30/2021,01:00:00,REGULAR,4401633,7578755
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,01/30/2021,01:00:00,REGULAR,3614,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,01/30/2021,03:00:00,REGULAR,5068448,2943653
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,01/30/2021,03:00:00,REGULAR,479146,1610490
A013,R081,01-00-00,49 ST,NQRW,BMT,01/30/2021,03:00:00,REGULAR,6245939,38845260
A014,R081,02-00-00,49 ST,NQRW,BMT,01/30/2021,03:00:00,REGULAR,10257,5294
A015,R081,00-00-00,49 ST,NQRW,BMT,01/30/2021,03:00:00,REGULAR,13080362,4298340
A016,R081,03-00-00,49 ST,NQRW,BMT,01/30/2021,03:00:00,REGULAR,4067920,5029581
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,01/30/2021,03:00:00,REGULAR,9881150,12358543
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/30/2021,03:00:00,REGULAR,28714234,12122034
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/30/2021,03:00:00,REGULAR,5480610,10473601
A027,R082,01-00-00,28 ST,NRW,BMT,01/30/2021,03:00:00,REGULAR,3911940,4754298
A029,R082,00-00-00,28 ST,NRW,BMT,01/30/2021,03:00:00,REGULAR,4373078,15943270
A030,R083,01-00-00,23 ST,NRW,BMT,01/30/2021,03:00:00,REGULAR,53350,58193
A031,R083,00-00-00,23 ST,NRW,BMT,01/30/2021,03:00:00,REGULAR,1928128,1099155
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/30/2021,00:00:00,REGULAR,363303,1152748
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/30/2021,00:00:00,REGULAR,2271758,17775178
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/30/2021,00:00:00,REGULAR,227977,560592
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/30/2021,00:00:00,REGULAR,1189090,789162
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,01/30/2021,03:00:00,REGULAR,4031493,3587118
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,01/30/2021,03:00:00,REGULAR,3896,18296
