C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/03/2021,00:00:00,REGULAR,7552051,2578175
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/03/2021,02:00:00,REGULAR,4433324,7632027
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/03/2021,02:00:00,REGULAR,3663,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/03/2021,00:00:00,REGULAR,5099790,2988743
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/03/2021,00:00:00,REGULAR,484597,1616441
A013,R081,01-00-00,49 ST,NQRW,BMT,04/03/2021,00:00:00,REGULAR,6251944,38894155
A014,R081,02-00-00,49 ST,NQRW,BMT,04/03/2021,00:00:00,REGULAR,29001,14334
A015,R081,00-00-00,49 ST,NQRW,BMT,04/03/2021,00:00:00,REGULAR,13090313,4306530
A016,R081,03-00-00,49 ST,NQRW,BMT,04/03/2021,00:00:00,REGULAR,4073621,5060751
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/03/2021,00:00:00,REGULAR,9932772,12439473
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/03/2021,00:00:00,REGULAR,28774548,12171449
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/03/2021,00:00:00,REGULAR,5523922,10567231
A027,R082,01-00-00,28 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,3927303,4790088
A029,R082,00-00-00,28 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,4378567,15991806
A030,R083,01-00-00,23 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,71245,79477
A031,R083,00-00-00,23 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,1955397,1117014
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/03/2021,01:00:00,REGULAR,370404,1185095
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/03/2021,01:00:00,REGULAR,2284134,17875908
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/03/2021,01:00:00,REGULAR,230582,565948
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/03/2021,01:00:00,REGULAR,1241480,839138
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,04/03/2021,00:00:00,REGULAR,4044032,3607426
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,04/03/2021,00:00:00,REGULAR,11567,56945
A041,R086,00-00-00,PRINCE ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,12671989,4817188
A042,R086,01-00-00,PRINCE ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,1398854,9450096
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,04/03/2021,01:00:00,REGULAR,371740884,456624904
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,04/03/2021,01:00:00,REGULAR,4264988,428016
A047,R087,00-00-00,CITY HALL,NRW,BMT,04/03/2021,00:00:00,REGULAR,27747,35447
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,04/03/2021,01:00:00,REGULAR,904794,1386645
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,04/03/2021,01:00:00,REGULAR,1847,6669
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,04/03/2021,01:00:00,REGULAR,247898,251191
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,04/03/2021,01:00:00,REGULAR,1162262,661077
A054,R227,01-00-00,RECTOR ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,5562177,8075577
A055,R227,00-00-00,RECTOR ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,1324043,510085
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,04/03/2021,01:00:00,REGULAR,1935991,4551166
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,04/03/2021,01:00:00,REGULAR,5293309,3021957
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,04/03/2021,01:00:00,REGULAR,14130655,12535208
A064,R311,00-00-00,BOWERY,JZ,BMT,04/03/2021,00:00:00,REGULAR,6164976,4372196
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,04/03/2021,01:00:00,REGULAR,1722707064,1763706895
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,04/03/2021,00:00:00,REGULAR,190852,1110526
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,04/03/2021,00:00:00,REGULAR,177458,100013
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,04/03/2021,03:00:00,REGULAR,409565,124313
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,04/03/2021,03:00:00,REGULAR,215932,1304070
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,04/03/2021,03:00:00,REGULAR,33554932,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,04/03/2021,01:00:00,REGULAR,6007338,2199886
A084,R125,01-00-00,BROAD ST,JZ,BMT,04/03/2021,01:00:00,REGULAR,311677,14109
A085,R125,02-05-00,BROAD ST,JZ,BMT,04/03/2021,01:00:00,REGULAR,0,1138
B004,R171,00-00-00,7 AV,BQ,BMT,04/03/2021,01:00:00,REGULAR,7809726,5832752
B009,R411,00-00-00,PARK PLACE,S,BMT,04/03/2021,01:00:00,REGULAR,6712834,5950874
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,04/03/2021,01:00:00,REGULAR,215277,345219
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,04/03/2021,00:00:00,REGULAR,1569292411,785941487
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,04/03/2021,00:00:00,REGULAR,81356,317301
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,04/03/2021,01:00:00,REGULAR,10921825,17802352
B015,R098,01-00-00,CHURCH AV,BQ,BMT,04/03/2021,00:00:00,REGULAR,3550715,2140267
B016,R098,00-00-00,CHURCH AV,BQ,BMT,04/03/2021,00:00:00,REGULAR,9256278,18247563
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,04/03/2021,00:00:00,REGULAR,5110617,2561133
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,04/03/2021,00:00:00,REGULAR,150183,75419
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,04/03/2021,01:00:00,REGULAR,18162772,17148932
B020,R263,00-00-00,AVENUE H,BQ,BMT,04/03/2021,00:00:00,REGULAR,41866,18983
B021,R228,00-00-00,AVENUE J,BQ,BMT,04/03/2021,00:00:00,REGULAR,9515792,8030527
B022,R229,00-00-00,AVENUE M,BQ,BMT,04/03/2021,00:00:00,REGULAR,18105,52131
B023,R211,01-05-00,KINGS HWY,BQ,BMT,04/03/2021,00:00:00,REGULAR,875,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,04/03/2021,00:00:00,REGULAR,17317083,11298794
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,04/03/2021,00:00:00,REGULAR,240843,304747
B025,R150,00-00-00,AVENUE U,BQ,BMT,04/03/2021,01:00:00,REGULAR,6292830,3856756
B026,R230,00-00-00,NECK RD,BQ,BMT,04/03/2021,00:00:00,REGULAR,303150,427763
B027,R136,00-00-00,SHEEPSHEAD BAY,BQ,BMT,04/03/2021,01:00:00,REGULAR,2214616,9010033
B028,R136,01-00-00,SHEEPSHEAD BAY,BQ,BMT,04/03/2021,01:00:00,REGULAR,2096209,264566
B029,R172,00-00-00,BRIGHTON BEACH,BQ,BMT,04/03/2021,00:00:00,REGULAR,13926735,10524302
B031,R172,01-00-00,BRIGHTON BEACH,BQ,BMT,04/03/2021,00:00:00,REGULAR,6470492,8812344
B032,R264,00-00-00,OCEAN PKWY,Q,BMT,04/03/2021,00:00:00,REGULAR,45512,30231
B034,R264,01-05-00,OCEAN PKWY,Q,BMT,04/03/2021,00:00:00,REGULAR,5898566,5898330
C001,R108,01-00-00,BOROUGH HALL,R2345,BMT,04/03/2021,00:00:00,REGULAR,825748,581890
C003,R089,00-00-00,JAY ST-METROTEC,R,BMT,04/03/2021,00:00:00,REGULAR,11905328,10149796
C004,R089,01-05-00,JAY ST-METROTEC,R,BMT,04/03/2021,00:00:00,REGULAR,134218221,0
C008,R099,00-00-00,DEKALB AV,BDNQR,BMT,04/03/2021,00:00:00,REGULAR,1999594463,1850981854
C009,R057,03-00-00,ATL AV-BARCLAY,BDNQR2345,BMT,04/03/2021,00:00:00,REGULAR,701471,1469768
C010,R231,00-00-00,UNION ST,R,BMT,04/03/2021,00:00:00,REGULAR,6742251,2326233
C011,R231,01-00-00,UNION ST,R,BMT,04/03/2021,04:00:00,REGULAR,4214865,13725019
C012,R258,01-00-00,4AV-9 ST,DFGMNR,BMT,04/03/2021,00:00:00,REGULAR,11644952,4602216
C014,R246,00-00-00,PROSPECT AV,R,BMT,04/03/2021,00:00:00,REGULAR,13304085,3082402
C015,R246,01-00-00,PROSPECT AV,R,BMT,04/03/2021,00:00:00,REGULAR,1064263,11726796
C016,R278,00-00-00,25 ST,R,BMT,04/03/2021,00:00:00,REGULAR,1987717,1748090
C017,R455,00-00-00,25 ST,R,BMT,04/03/2021,00:00:00,REGULAR,4399605,8389827
C018,R197,00-00-00,36 ST,DNR,BMT,04/03/2021,01:00:00,REGULAR,186325,274175
C019,R232,00-00-00,45 ST,R,BMT,04/03/2021,00:00:00,REGULAR,5292157,8555331
C020,R233,00-00-00,53 ST,R,BMT,04/03/2021,00:00:00,REGULAR,11438059,5457155
C021,R212,00-00-00,59 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,9478773,4939643
C022,R212,01-00-00,59 ST,NRW,BMT,04/03/2021,00:00:00,REGULAR,676570,711414
C023,R213,00-00-00,BAY RIDGE AV,R,BMT,04/03/2021,00:00:00,REGULAR,3353196,3626975
C024,R214,00-00-00,77 ST,R,BMT,04/03/2021,00:00:00,REGULAR,9130289,2062392
C025,R215,00-00-00,86 ST,R,BMT,04/03/2021,00:00:00,REGULAR,369278,503906
C026,R215,01-05-00,86 ST,R,BMT,04/03/2021,00:00:00,REGULAR,458811,0
C027,R216,00-00-00,BAY RIDGE-95 ST,R,BMT,04/03/2021,00:00:00,REGULAR,5322592,7352540
C028,R216,01-05-00,BAY RIDGE-95 ST,R,BMT,04/03/2021,00:00:00,REGULAR,1317,0
D001,R390,01-00-00,8 AV,N,BMT,04/03/2021,01:00:00,REGULAR,252732,219481
D002,R390,00-00-00,8 AV,N,BMT,04/03/2021,01:00:00,RECOVR AUD,209600,630414
D003,R391,00-00-00,FT HAMILTON PKY,N,BMT,04/03/2021,01:00:00,REGULAR,2912127,2972495
D004,R391,01-05-00,FT HAMILTON PKY,N,BMT,04/03/2021,01:00:00,REGULAR,241,0
D005,R398,00-00-00,NEW UTRECHT AV,ND,BMT,04/03/2021,01:00:00,REGULAR,147787,35933
D006,R398,01-05-00,NEW UTRECHT AV,ND,BMT,04/03/2021,01:00:00,REGULAR,953,0
D008,R392,00-00-00,18 AV,N,BMT,04/03/2021,01:00:00,REGULAR,8057578,7918462
D009,R393,00-00-00,20 AV,N,BMT,04/03/2021,01:00:00,REGULAR,355863,276063
D010,R394,00-00-00,BAY PKWY,N,BMT,04/03/2021,01:00:00,REGULAR,3291343,892973
D011,R394,01-05-00,BAY PKWY,N,BMT,04/03/2021,01:00:00,REGULAR,575996162,672530542
D012,R395,00-00-00,KINGS HWY,N,BMT,04/03/2021,01:00:00,REGULAR,4500957,4994414
D015,R396,00-00-00,AVENUE U,N,BMT,04/03/2021,01:00:00,REGULAR,4157864,5883389
D016,R397,00-00-00,86 ST,N,BMT,04/03/2021,01:00:00,REGULAR,202694,541983
E001,R368,00-00-00,9 AV,D,BMT,04/03/2021,01:00:00,REGULAR,9024374,11108445
