C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/05/2020,03:00:00,REGULAR,7498815,2553247
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,12/05/2020,01:00:00,REGULAR,4375401,7534940
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,12/05/2020,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,12/05/2020,03:00:00,REGULAR,5042596,2906531
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,12/05/2020,03:00:00,REGULAR,474010,1605545
A013,R081,01-00-00,49 ST,NQRW,BMT,12/05/2020,03:00:00,REGULAR,6241340,38803842
A014,R081,02-00-00,49 ST,NQRW,BMT,12/05/2020,03:00:00,REGULAR,3050510,1091674
A015,R081,00-00-00,49 ST,NQRW,BMT,12/05/2020,03:00:00,REGULAR,13069738,4291113
A016,R081,03-00-00,49 ST,NQRW,BMT,12/05/2020,03:00:00,REGULAR,4063440,5004166
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,12/05/2020,03:00:00,REGULAR,9837554,12289398
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/05/2020,03:00:00,REGULAR,28661946,12079342
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,12/05/2020,03:00:00,REGULAR,5441837,10391850
A027,R082,01-00-00,28 ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,3899452,4727964
A029,R082,00-00-00,28 ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,4368126,15904916
A030,R083,01-00-00,23 ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,38444,41706
A031,R083,00-00-00,23 ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,1906057,1085338
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/05/2020,00:00:00,REGULAR,357202,1124499
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/05/2020,00:00:00,REGULAR,2261423,17695779
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/05/2020,00:00:00,REGULAR,226074,556194
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/05/2020,00:00:00,REGULAR,1143389,749733
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,12/05/2020,03:00:00,REGULAR,4022016,3573357
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,12/05/2020,03:00:00,REGULAR,1629050,7007489
A041,R086,00-00-00,PRINCE ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,12619564,4790837
A042,R086,01-00-00,PRINCE ST,NRW,BMT,12/05/2020,03:00:00,REGULAR,1392100,9378278
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,12/05/2020,00:00:00,REGULAR,371702819,456568822
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,12/05/2020,00:00:00,REGULAR,4257787,424357
A047,R087,00-00-00,CITY HALL,NRW,BMT,12/05/2020,03:00:00,REGULAR,19700,23400
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,12/05/2020,00:00:00,REGULAR,896118,1354153
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,12/05/2020,00:00:00,REGULAR,203,574
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,12/05/2020,00:00:00,REGULAR,236290,239393
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,12/05/2020,00:00:00,REGULAR,1157494,637018
