C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/20/2021,00:00:00,REGULAR,7547270,2575125
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,03/20/2021,02:00:00,REGULAR,4425591,7619180
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,03/20/2021,02:00:00,REGULAR,3641,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,03/20/2021,00:00:00,REGULAR,5092259,2977424
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,03/20/2021,00:00:00,REGULAR,483164,1615126
A013,R081,01-00-00,49 ST,NQRW,BMT,03/20/2021,00:00:00,REGULAR,6250497,38881762
A014,R081,02-00-00,49 ST,NQRW,BMT,03/20/2021,00:00:00,REGULAR,24445,12137
A015,R081,00-00-00,49 ST,NQRW,BMT,03/20/2021,00:00:00,REGULAR,13088862,4304511
A016,R081,03-00-00,49 ST,NQRW,BMT,03/20/2021,00:00:00,REGULAR,4072114,5053787
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,03/20/2021,00:00:00,REGULAR,9920656,12420991
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/20/2021,00:00:00,REGULAR,28759943,12159044
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/20/2021,00:00:00,REGULAR,5513288,10545198
A027,R082,01-00-00,28 ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,3923467,4781236
A029,R082,00-00-00,28 ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,4377280,15979744
A030,R083,01-00-00,23 ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,66800,74400
A031,R083,00-00-00,23 ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,1948831,1112468
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/20/2021,01:00:00,REGULAR,368537,1176117
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/20/2021,01:00:00,REGULAR,2281033,17850334
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/20/2021,01:00:00,REGULAR,229988,564635
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/20/2021,01:00:00,REGULAR,1228214,827008
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,03/20/2021,00:00:00,REGULAR,4041009,3602490
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,03/20/2021,00:00:00,REGULAR,9701,47369
A041,R086,00-00-00,PRINCE ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,12665741,4813787
A042,R086,01-00-00,PRINCE ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,1397893,9439708
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,03/20/2021,01:00:00,REGULAR,371736270,456617287
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,03/20/2021,01:00:00,REGULAR,4264131,427536
A047,R087,00-00-00,CITY HALL,NRW,BMT,03/20/2021,00:00:00,REGULAR,26708,33906
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,03/20/2021,01:00:00,REGULAR,903581,1382533
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,03/20/2021,01:00:00,REGULAR,1588,5870
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,03/20/2021,01:00:00,REGULAR,246402,249596
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,03/20/2021,01:00:00,REGULAR,1161658,657726
A054,R227,01-00-00,RECTOR ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,5560662,8071999
A055,R227,00-00-00,RECTOR ST,NRW,BMT,03/20/2021,00:00:00,REGULAR,1321893,509332
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,03/20/2021,01:00:00,REGULAR,1933707,4542964
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,03/20/2021,01:00:00,REGULAR,5280994,3016969
