C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/27/2021,00:00:00,REGULAR,7550517,2576642
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,03/27/2021,02:00:00,REGULAR,4429578,7625349
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,03/27/2021,02:00:00,REGULAR,3663,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,03/27/2021,00:00:00,REGULAR,5096145,2983353
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,03/27/2021,00:00:00,REGULAR,483889,1615738
A013,R081,01-00-00,49 ST,NQRW,BMT,03/27/2021,00:00:00,REGULAR,6251250,38887747
A014,R081,02-00-00,49 ST,NQRW,BMT,03/27/2021,00:00:00,REGULAR,26700,13247
A015,R081,00-00-00,49 ST,NQRW,BMT,03/27/2021,00:00:00,REGULAR,13089591,4305540
A016,R081,03-00-00,49 ST,NQRW,BMT,03/27/2021,00:00:00,REGULAR,4072777,5057239
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,03/27/2021,00:00:00,REGULAR,9926781,12430499
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/27/2021,00:00:00,REGULAR,28767279,12165262
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/27/2021,00:00:00,REGULAR,5518662,10556396
A027,R082,01-00-00,28 ST,NRW,BMT,03/27/2021,00:00:00,REGULAR,3925345,4785672
A029,R082,00-00-00,28 ST,NRW,BMT,03/27/2021,00:00:00,REGULAR,4377959,15985749
A030,R083,01-00-00,23 ST,NRW,BMT,03/27/2021,00:00:00,REGULAR,69012,76993
A031,R083,00-00-00,23 ST,NRW,BMT,03/27/2021,00:00:00,REGULAR,1952193,1114707
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/27/2021,01:00:00,REGULAR,369506,1180838
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/27/2021,01:00:00,REGULAR,2282594,17863788
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/27/2021,01:00:00,REGULAR,230269,565294
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/27/2021,01:00:00,REGULAR,1235098,833248
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,03/27/2021,00:00:00,REGULAR,4042503,3604905
