C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,09/26/2020,00:00:00,REGULAR,7463495,2538694
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,09/26/2020,02:00:00,REGULAR,4337234,7476733
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,09/26/2020,02:00:00,REGULAR,3606,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,09/26/2020,00:00:00,REGULAR,5008231,2849925
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,09/26/2020,00:00:00,REGULAR,465980,1599084
A013,R081,01-00-00,49 ST,NQRW,BMT,09/26/2020,00:00:00,REGULAR,6235282,38750239
A014,R081,02-00-00,49 ST,NQRW,BMT,09/26/2020,00:00:00,REGULAR,3029343,1082491
A015,R081,00-00-00,49 ST,NQRW,BMT,09/26/2020,00:00:00,REGULAR,13055747,4281840
A016,R081,03-00-00,49 ST,NQRW,BMT,09/26/2020,00:00:00,REGULAR,4056622,4969347
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,09/26/2020,00:00:00,REGULAR,9777407,12201434
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,09/26/2020,00:00:00,REGULAR,28591856,12025989
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,09/26/2020,00:00:00,REGULAR,5385532,10276182
A027,R082,01-00-00,28 ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,3881532,4691918
A029,R082,00-00-00,28 ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,4360774,15852629
A030,R083,01-00-00,23 ST,NRW,BMT,09/26/2020,00:00:00,RECOVR AUD,17092,19314
A031,R083,00-00-00,23 ST,NRW,BMT,09/26/2020,00:00:00,RECOVR AUD,1882049,1065269
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,09/26/2020,01:00:00,REGULAR,348383,1082443
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,09/26/2020,01:00:00,REGULAR,2245814,17578219
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,09/26/2020,01:00:00,REGULAR,223134,550135
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,09/26/2020,01:00:00,REGULAR,1078854,694744
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,09/26/2020,00:00:00,REGULAR,4006901,3546765
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,09/26/2020,00:00:00,REGULAR,1619797,6965077
A041,R086,00-00-00,PRINCE ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,12587646,4776078
A042,R086,01-00-00,PRINCE ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,1388112,9334251
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,09/26/2020,01:00:00,REGULAR,371676778,456534530
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,09/26/2020,01:00:00,REGULAR,4254562,422859
A047,R087,00-00-00,CITY HALL,NRW,BMT,09/26/2020,00:00:00,REGULAR,14544,16671
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,09/26/2020,01:00:00,REGULAR,891414,1336008
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,09/26/2020,01:00:00,REGULAR,3961572,5647967
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,09/26/2020,01:00:00,REGULAR,229391,233150
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,09/26/2020,01:00:00,REGULAR,1154923,621954
A054,R227,01-00-00,RECTOR ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,5544034,8033990
A055,R227,00-00-00,RECTOR ST,NRW,BMT,09/26/2020,00:00:00,REGULAR,1296268,501277
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,09/26/2020,01:00:00,REGULAR,1909510,4457692
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,09/26/2020,01:00:00,REGULAR,5143033,2962124
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,09/26/2020,01:00:00,REGULAR,13990123,12390917
A064,R311,00-00-00,BOWERY,JZ,BMT,09/26/2020,00:00:00,REGULAR,6116062,4309622
