C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/13/2021,03:00:00,REGULAR,7530669,2567497
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,02/13/2021,01:00:00,REGULAR,4407630,7589207
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,02/13/2021,01:00:00,REGULAR,3634,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,02/13/2021,03:00:00,REGULAR,5074504,2952139
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,02/13/2021,03:00:00,REGULAR,479837,1611760
A013,R081,01-00-00,49 ST,NQRW,BMT,02/13/2021,03:00:00,REGULAR,6247057,38854446
A014,R081,02-00-00,49 ST,NQRW,BMT,02/13/2021,03:00:00,REGULAR,13706,7082
A015,R081,00-00-00,49 ST,NQRW,BMT,02/13/2021,03:00:00,REGULAR,13082552,4299881
A016,R081,03-00-00,49 ST,NQRW,BMT,02/13/2021,03:00:00,REGULAR,4068854,5035804
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,02/13/2021,03:00:00,REGULAR,9891371,12374472
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/13/2021,03:00:00,REGULAR,28726567,12131184
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/13/2021,03:00:00,REGULAR,5488751,10491849
A027,R082,01-00-00,28 ST,NRW,BMT,02/13/2021,03:00:00,REGULAR,3914924,4761230
A029,R082,00-00-00,28 ST,NRW,BMT,02/13/2021,03:00:00,REGULAR,4374100,15952413
A030,R083,01-00-00,23 ST,NRW,BMT,02/13/2021,03:00:00,REGULAR,56818,62332
A031,R083,00-00-00,23 ST,NRW,BMT,02/13/2021,03:00:00,REGULAR,1933447,1102870
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/13/2021,00:00:00,REGULAR,364642,1159126
