C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2021,00:00:00,REGULAR,7575503,2588978
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/22/2021,02:00:00,REGULAR,4461536,7680614
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/22/2021,02:00:00,REGULAR,3672,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/22/2021,00:00:00,REGULAR,5130732,3036606
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/22/2021,00:00:00,REGULAR,490125,1621885
A013,R081,01-00-00,49 ST,NQRW,BMT,05/22/2021,00:00:00,REGULAR,6257313,38944331
A014,R081,02-00-00,49 ST,NQRW,BMT,05/22/2021,00:00:00,REGULAR,47079,23244
A015,R081,00-00-00,49 ST,NQRW,BMT,05/22/2021,00:00:00,REGULAR,13101656,4314327
A016,R081,03-00-00,49 ST,NQRW,BMT,05/22/2021,00:00:00,REGULAR,4079794,5089046
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,05/22/2021,00:00:00,REGULAR,9979156,12512171
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,05/22/2021,00:00:00,REGULAR,28832486,12219969
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,05/22/2021,00:00:00,REGULAR,5564594,10649704
A027,R082,01-00-00,28 ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,3941714,4824887
A029,R082,00-00-00,28 ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,4384256,16038195
A030,R083,01-00-00,23 ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,88111,99218
A031,R083,00-00-00,23 ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,1980113,1133352
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/22/2021,01:00:00,REGULAR,377489,1220650
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/22/2021,01:00:00,REGULAR,2296391,17980732
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/22/2021,01:00:00,REGULAR,232960,571648
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/22/2021,01:00:00,REGULAR,1291576,886350
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,05/22/2021,00:00:00,REGULAR,4055670,3628396
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,05/22/2021,00:00:00,REGULAR,19675,95139
A041,R086,00-00-00,PRINCE ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,12695207,4830985
A042,R086,01-00-00,PRINCE ST,NRW,BMT,05/22/2021,00:00:00,REGULAR,1402822,9490842
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,05/22/2021,01:00:00,REGULAR,371759166,456657599
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,05/22/2021,01:00:00,REGULAR,4269340,429715
A047,R087,00-00-00,CITY HALL,NRW,BMT,05/22/2021,00:00:00,REGULAR,32066,41256
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,05/22/2021,01:00:00,REGULAR,909109,1402353
