C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2020,03:00:00,REGULAR,7484683,2547321
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,11/07/2020,01:00:00,REGULAR,4360219,7511925
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,11/07/2020,01:00:00,REGULAR,3608,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,11/07/2020,03:00:00,REGULAR,5028172,2885656
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,11/07/2020,03:00:00,REGULAR,470913,1603128
A013,R081,01-00-00,49 ST,NQRW,BMT,11/07/2020,03:00:00,REGULAR,6238932,38783119
A014,R081,02-00-00,49 ST,NQRW,BMT,11/07/2020,03:00:00,REGULAR,3042149,1087966
A015,R081,00-00-00,49 ST,NQRW,BMT,11/07/2020,03:00:00,REGULAR,13064113,4287505
A016,R081,03-00-00,49 ST,NQRW,BMT,11/07/2020,03:00:00,REGULAR,4060890,4990743
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,11/07/2020,03:00:00,REGULAR,9814392,12254657
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/07/2020,03:00:00,REGULAR,28639028,12056896
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/07/2020,03:00:00,REGULAR,5420588,10347091
A027,R082,01-00-00,28 ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,3892286,4713884
A029,R082,00-00-00,28 ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,4365354,15884203
A030,R083,01-00-00,23 ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,30213,32848
A031,R083,00-00-00,23 ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,1894379,1077819
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/07/2020,00:00:00,REGULAR,353869,1108446
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/07/2020,00:00:00,REGULAR,2255600,17650388
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/07/2020,00:00:00,REGULAR,224902,553916
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/07/2020,00:00:00,REGULAR,1118216,728047
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,11/07/2020,03:00:00,REGULAR,4016320,3565173
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,11/07/2020,03:00:00,REGULAR,1625676,6991147
A041,R086,00-00-00,PRINCE ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,12605173,4784762
A042,R086,01-00-00,PRINCE ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,1390671,9361060
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,11/07/2020,00:00:00,REGULAR,371692228,456554588
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,11/07/2020,00:00:00,REGULAR,4256238,423630
A047,R087,00-00-00,CITY HALL,NRW,BMT,11/07/2020,03:00:00,REGULAR,17829,20987
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,11/07/2020,00:00:00,REGULAR,894418,1347183
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,11/07/2020,00:00:00,REGULAR,3962661,5650505
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,11/07/2020,00:00:00,REGULAR,233510,237160
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,11/07/2020,00:00:00,REGULAR,1156667,631455
A054,R227,01-00-00,RECTOR ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,5548327,8043180
A055,R227,00-00-00,RECTOR ST,NRW,BMT,11/07/2020,03:00:00,REGULAR,1302459,503238
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,11/07/2020,00:00:00,REGULAR,1915967,4481729
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,11/07/2020,00:00:00,REGULAR,5180113,2976358
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,11/07/2020,00:00:00,REGULAR,14025332,12423825
A064,R311,00-00-00,BOWERY,JZ,BMT,11/07/2020,03:00:00,REGULAR,6129985,4322064
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,11/07/2020,00:00:00,REGULAR,1722818071,1763570148
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,11/07/2020,03:00:00,REGULAR,174083,970142
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,11/07/2020,03:00:00,REGULAR,174376,97125
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,11/07/2020,02:00:00,REGULAR,378494,109979
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,11/07/2020,02:00:00,REGULAR,212847,1271335
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,11/07/2020,02:00:00,REGULAR,33554914,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,11/07/2020,00:00:00,REGULAR,5964909,2190594
A084,R125,01-00-00,BROAD ST,JZ,BMT,11/07/2020,00:00:00,REGULAR,299349,12144
A085,R125,02-05-00,BROAD ST,JZ,BMT,11/07/2020,00:00:00,REGULAR,0,1127
B004,R171,00-00-00,7 AV,BQ,BMT,11/07/2020,00:00:00,REGULAR,7723819,5731639
B009,R411,00-00-00,PARK PLACE,S,BMT,11/07/2020,00:00:00,REGULAR,6687470,5915898
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,11/07/2020,00:00:00,REGULAR,183847,285223
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,11/07/2020,03:00:00,REGULAR,1569218824,786027868
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,11/07/2020,03:00:00,REGULAR,39914,153176
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,11/07/2020,00:00:00,REGULAR,10855859,17635247
B015,R098,01-00-00,CHURCH AV,BQ,BMT,11/07/2020,03:00:00,REGULAR,3530101,2117178
B016,R098,00-00-00,CHURCH AV,BQ,BMT,11/07/2020,03:00:00,REGULAR,9210938,18122754
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,11/07/2020,03:00:00,REGULAR,5039727,2520082
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,11/07/2020,03:00:00,REGULAR,30436,13818
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,11/07/2020,00:00:00,REGULAR,18022372,17015410
B020,R263,00-00-00,AVENUE H,BQ,BMT,11/07/2020,03:00:00,REGULAR,19915,9252
