C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,02/06/2021,03:00:00,REGULAR,7527244,2565995
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,02/06/2021,01:00:00,REGULAR,4404219,7583279
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,02/06/2021,01:00:00,REGULAR,3634,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,02/06/2021,03:00:00,REGULAR,5071217,2947629
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,02/06/2021,03:00:00,REGULAR,479673,1611038
A013,R081,01-00-00,49 ST,NQRW,BMT,02/06/2021,03:00:00,REGULAR,6246445,38849439
A014,R081,02-00-00,49 ST,NQRW,BMT,02/06/2021,03:00:00,REGULAR,11856,6075
A015,R081,00-00-00,49 ST,NQRW,BMT,02/06/2021,03:00:00,REGULAR,13081305,4299084
A016,R081,03-00-00,49 ST,NQRW,BMT,02/06/2021,03:00:00,REGULAR,4068322,5032461
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,02/06/2021,03:00:00,REGULAR,9885795,12366040
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/06/2021,03:00:00,REGULAR,28720352,12126237
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,02/06/2021,03:00:00,REGULAR,5484386,10482012
A027,R082,01-00-00,28 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,3913254,4757398
A029,R082,00-00-00,28 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,4373568,15947406
A030,R083,01-00-00,23 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,54944,60087
A031,R083,00-00-00,23 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,1930481,1100911
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/06/2021,00:00:00,REGULAR,363895,1155627
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/06/2021,00:00:00,REGULAR,2272806,17783479
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/06/2021,00:00:00,REGULAR,228216,561070
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,02/06/2021,00:00:00,REGULAR,1193910,793693
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,02/06/2021,03:00:00,REGULAR,4032575,3588890
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,02/06/2021,03:00:00,REGULAR,4568,21649
A041,R086,00-00-00,PRINCE ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,12647999,4804279
A042,R086,01-00-00,PRINCE ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,1395404,9413712
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,02/06/2021,00:00:00,REGULAR,371722801,456596692
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,02/06/2021,00:00:00,REGULAR,4261379,426171
A047,R087,00-00-00,CITY HALL,NRW,BMT,02/06/2021,03:00:00,REGULAR,23747,29031
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,02/06/2021,00:00:00,REGULAR,900603,1370517
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,02/06/2021,00:00:00,REGULAR,967,3681
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,02/06/2021,00:00:00,REGULAR,242176,245335
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,02/06/2021,00:00:00,REGULAR,1159907,648632
A054,R227,01-00-00,RECTOR ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,5556413,8061673
A055,R227,00-00-00,RECTOR ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,1315357,507318
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,02/06/2021,00:00:00,REGULAR,1927630,4521957
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,02/06/2021,00:00:00,REGULAR,5247782,3003495
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,02/06/2021,00:00:00,REGULAR,14089308,12490212
A064,R311,00-00-00,BOWERY,JZ,BMT,02/06/2021,03:00:00,REGULAR,6151357,4350593
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,02/06/2021,00:00:00,REGULAR,1722749213,1763648486
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,02/06/2021,03:00:00,REGULAR,183699,1050847
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,02/06/2021,03:00:00,REGULAR,176141,98885
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,02/06/2021,02:00:00,REGULAR,396863,118213
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,02/06/2021,02:00:00,REGULAR,214829,1290704
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,02/06/2021,02:00:00,REGULAR,33554923,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,02/06/2021,00:00:00,REGULAR,5990589,2196117
A084,R125,01-00-00,BROAD ST,JZ,BMT,02/06/2021,00:00:00,REGULAR,306771,13194
A085,R125,02-05-00,BROAD ST,JZ,BMT,02/06/2021,00:00:00,REGULAR,0,1132
B004,R171,00-00-00,7 AV,BQ,BMT,02/06/2021,00:00:00,REGULAR,7774684,5790849
B009,R411,00-00-00,PARK PLACE,S,BMT,02/06/2021,00:00:00,REGULAR,6703292,5936921
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,02/06/2021,00:00:00,REGULAR,202643,320655
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,02/06/2021,03:00:00,REGULAR,1569263574,785976342
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,02/06/2021,03:00:00,REGULAR,64721,249271
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,02/06/2021,00:00:00,REGULAR,10895184,17735001
B015,R098,01-00-00,CHURCH AV,BQ,BMT,02/06/2021,03:00:00,REGULAR,3542377,2130917
B016,R098,00-00-00,CHURCH AV,BQ,BMT,02/06/2021,03:00:00,REGULAR,9238873,18198486
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,02/06/2021,03:00:00,REGULAR,5083134,2544631
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,02/06/2021,03:00:00,REGULAR,102998,50843
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,02/06/2021,00:00:00,REGULAR,18106671,17094438
B020,R263,00-00-00,AVENUE H,BQ,BMT,02/06/2021,03:00:00,REGULAR,34926,15664
B021,R228,00-00-00,AVENUE J,BQ,BMT,02/06/2021,03:00:00,REGULAR,9504085,8009774
B022,R229,00-00-00,AVENUE M,BQ,BMT,02/06/2021,03:00:00,REGULAR,11754,34226
B023,R211,01-05-00,KINGS HWY,BQ,BMT,02/06/2021,03:00:00,REGULAR,873,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,02/06/2021,03:00:00,REGULAR,17256083,11256076
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,02/06/2021,03:00:00,REGULAR,231894,293788
B025,R150,00-00-00,AVENUE U,BQ,BMT,02/06/2021,00:00:00,REGULAR,6251023,3830268
B026,R230,00-00-00,NECK RD,BQ,BMT,02/06/2021,03:00:00,REGULAR,293959,415744
B027,R136,00-00-00,SHEEPSHEAD BAY,BQ,BMT,02/06/2021,00:00:00,REGULAR,2199491,8925562
B028,R136,01-00-00,SHEEPSHEAD BAY,BQ,BMT,02/06/2021,00:00:00,REGULAR,2086998,226758
B029,R172,00-00-00,BRIGHTON BEACH,BQ,BMT,02/06/2021,03:00:00,REGULAR,13897785,10496027
B031,R172,01-00-00,BRIGHTON BEACH,BQ,BMT,02/06/2021,03:00:00,REGULAR,6453941,8776714
B032,R264,00-00-00,OCEAN PKWY,Q,BMT,02/06/2021,03:00:00,REGULAR,29254,18455
B034,R264,01-05-00,OCEAN PKWY,Q,BMT,02/06/2021,03:00:00,REGULAR,5898560,5898330
C001,R108,01-00-00,BOROUGH HALL,R2345,BMT,02/06/2021,03:00:00,REGULAR,812310,568755
C003,R089,00-00-00,JAY ST-METROTEC,R,BMT,02/06/2021,03:00:00,REGULAR,11896323,10140083
C004,R089,01-05-00,JAY ST-METROTEC,R,BMT,02/06/2021,03:00:00,REGULAR,134218210,0
C008,R099,00-00-00,DEKALB AV,BDNQR,BMT,02/06/2021,03:00:00,REGULAR,1999627188,1850943986
C009,R057,03-00-00,ATL AV-BARCLAY,BDNQR2345,BMT,02/06/2021,03:00:00,REGULAR,665732,1408032
C010,R231,00-00-00,UNION ST,R,BMT,02/06/2021,03:00:00,REGULAR,6711661,2305467
C011,R231,01-00-00,UNION ST,R,BMT,02/06/2021,03:00:00,REGULAR,4201119,13679193
C012,R258,01-00-00,4AV-9 ST,DFGMNR,BMT,02/06/2021,03:00:00,REGULAR,11624059,4591150
C014,R246,00-00-00,PROSPECT AV,R,BMT,02/06/2021,03:00:00,REGULAR,13286196,3070774
C015,R246,01-00-00,PROSPECT AV,R,BMT,02/06/2021,03:00:00,REGULAR,1059528,11687084
C016,R278,00-00-00,25 ST,R,BMT,02/06/2021,03:00:00,REGULAR,1980600,1733200
C017,R455,00-00-00,25 ST,R,BMT,02/06/2021,03:00:00,REGULAR,4387819,8357976
C018,R197,00-00-00,36 ST,DNR,BMT,02/06/2021,00:00:00,REGULAR,113949,171557
C019,R232,00-00-00,45 ST,R,BMT,02/06/2021,03:00:00,REGULAR,5262302,8490872
C020,R233,00-00-00,53 ST,R,BMT,02/06/2021,03:00:00,REGULAR,11387866,5428297
C021,R212,00-00-00,59 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,9439069,4914991
C022,R212,01-00-00,59 ST,NRW,BMT,02/06/2021,03:00:00,REGULAR,647773,676194
C023,R213,00-00-00,BAY RIDGE AV,R,BMT,02/06/2021,03:00:00,REGULAR,3337229,3551796
C024,R214,00-00-00,77 ST,R,BMT,02/06/2021,03:00:00,REGULAR,9093571,2053981
C025,R215,00-00-00,86 ST,R,BMT,02/06/2021,03:00:00,REGULAR,341179,450207
C026,R215,01-05-00,86 ST,R,BMT,02/06/2021,03:00:00,REGULAR,458794,0
C027,R216,00-00-00,BAY RIDGE-95 ST,R,BMT,02/06/2021,03:00:00,REGULAR,5312496,7329304
C028,R216,01-05-00,BAY RIDGE-95 ST,R,BMT,02/06/2021,03:00:00,REGULAR,1303,0
D001,R390,01-00-00,8 AV,N,BMT,02/06/2021,00:00:00,REGULAR,247792,208142
D002,R390,00-00-00,8 AV,N,BMT,02/06/2021,00:00:00,REGULAR,195533,594756
D003,R391,00-00-00,FT HAMILTON PKY,N,BMT,02/06/2021,00:00:00,REGULAR,2907540,2959487
D004,R391,01-05-00,FT HAMILTON PKY,N,BMT,02/06/2021,00:00:00,REGULAR,239,0
D005,R398,00-00-00,NEW UTRECHT AV,ND,BMT,02/06/2021,00:00:00,REGULAR,136375,33487
D006,R398,01-05-00,NEW UTRECHT AV,ND,BMT,02/06/2021,00:00:00,REGULAR,951,0
D008,R392,00-00-00,18 AV,N,BMT,02/06/2021,00:00:00,REGULAR,8043539,7899053
D009,R393,00-00-00,20 AV,N,BMT,02/06/2021,00:00:00,REGULAR,337614,263237
D010,R394,00-00-00,BAY PKWY,N,BMT,02/06/2021,00:00:00,REGULAR,3266992,860040
D011,R394,01-05-00,BAY PKWY,N,BMT,02/06/2021,00:00:00,REGULAR,575996154,672530542
D012,R395,00-00-00,KINGS HWY,N,BMT,02/06/2021,00:00:00,REGULAR,4489079,4981253
D015,R396,00-00-00,AVENUE U,N,BMT,02/06/2021,00:00:00,REGULAR,4136922,5847118
D016,R397,00-00-00,86 ST,N,BMT,02/06/2021,00:00:00,REGULAR,190633,515664
E001,R368,00-00-00,9 AV,D,BMT,02/06/2021,00:00:00,REGULAR,9016426,11104500
E003,R369,00-00-00,FT HAMILTON PKY,D,BMT,02/06/2021,00:00:00,REGULAR,2165348,978368
E004,R234,00-00-00,50 ST,D,BMT,02/06/2021,03:00:00,REGULAR,6228666,5792391
E005,R247,00-00-00,55 ST,D,BMT,02/06/2021,03:00:00,REGULAR,7403880,4211345
E009,R370,00-00-00,71 ST,D,BMT,02/06/2021,03:00:00,REGULAR,8532973,7787766
E011,R371,00-00-00,79 ST,D,BMT,02/06/2021,03:00:00,REGULAR,11913149,9202172
E012,R372,00-00-00,18 AV,D,BMT,02/06/2021,03:00:00,REGULAR,15538526,11596291
E013,R373,00-00-00,20 AV,D,BMT,02/06/2021,03:00:00,REGULAR,144693,41579
E014,R374,00-00-00,BAY PKWY,D,BMT,02/06/2021,00:00:00,REGULAR,15400967,12415042
E015,R399,00-00-00,25 AV,D,BMT,02/06/2021,00:00:00,REGULAR,3988081,851467
E016,R400,00-00-00,BAY 50 ST,D,BMT,02/06/2021,00:00:00,REGULAR,8107675,6978650
G001,R151,00-00-00,CONEY IS-STILLW,DFNQ,BMT,02/06/2021,00:00:00,REGULAR,1587901,2755948
