C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,10/03/2020,00:00:00,REGULAR,7466548,2539998
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,10/03/2020,02:00:00,REGULAR,4340956,7482454
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,10/03/2020,02:00:00,REGULAR,3606,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,10/03/2020,00:00:00,REGULAR,5012098,2855420
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,10/03/2020,00:00:00,REGULAR,466772,1599715
A013,R081,01-00-00,49 ST,NQRW,BMT,10/03/2020,00:00:00,REGULAR,6235847,38755425
A014,R081,02-00-00,49 ST,NQRW,BMT,10/03/2020,00:00:00,REGULAR,3031486,1083311
A015,R081,00-00-00,49 ST,NQRW,BMT,10/03/2020,00:00:00,REGULAR,13057231,4282754
A016,R081,03-00-00,49 ST,NQRW,BMT,10/03/2020,00:00:00,REGULAR,4057259,4972832
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,10/03/2020,00:00:00,REGULAR,9783546,12210137
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/03/2020,00:00:00,REGULAR,28599004,12031212
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,10/03/2020,00:00:00,REGULAR,5391284,10287862
A027,R082,01-00-00,28 ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,3883359,4695590
A029,R082,00-00-00,28 ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,4361592,15857725
A030,R083,01-00-00,23 ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,19205,21672
A031,R083,00-00-00,23 ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,1885542,1067355
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/03/2020,01:00:00,REGULAR,349271,1087091
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/03/2020,01:00:00,REGULAR,2247405,17590373
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/03/2020,01:00:00,REGULAR,223423,550738
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,10/03/2020,01:00:00,REGULAR,1085175,700355
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,10/03/2020,00:00:00,REGULAR,4008526,3549221
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,10/03/2020,00:00:00,REGULAR,1620826,6969233
A041,R086,00-00-00,PRINCE ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,12590431,4777575
A042,R086,01-00-00,PRINCE ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,1388554,9338436
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,10/03/2020,01:00:00,REGULAR,371679352,456537860
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,10/03/2020,01:00:00,REGULAR,4255043,423053
A047,R087,00-00-00,CITY HALL,NRW,BMT,10/03/2020,00:00:00,REGULAR,15116,17337
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,10/03/2020,01:00:00,REGULAR,891943,1337904
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,10/03/2020,01:00:00,REGULAR,3961784,5648442
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,10/03/2020,01:00:00,REGULAR,230074,233760
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,10/03/2020,01:00:00,REGULAR,1155202,623387
A054,R227,01-00-00,RECTOR ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,5544718,8035564
A055,R227,00-00-00,RECTOR ST,NRW,BMT,10/03/2020,00:00:00,REGULAR,1297229,501598
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,10/03/2020,01:00:00,REGULAR,1910630,4461772
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,10/03/2020,01:00:00,REGULAR,5149199,2964318
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,10/03/2020,01:00:00,REGULAR,13995838,12396560
A064,R311,00-00-00,BOWERY,JZ,BMT,10/03/2020,00:00:00,REGULAR,6118463,4311576
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,10/03/2020,01:00:00,REGULAR,1722850045,1763538024
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,10/03/2020,00:00:00,REGULAR,168066,933899
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,10/03/2020,00:00:00,REGULAR,173550,96418
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,10/03/2020,03:00:00,REGULAR,370149,106717
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,10/03/2020,03:00:00,REGULAR,211838,1262078
