C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/02/2021,03:00:00,REGULAR,7511653,2558871
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,01/02/2021,01:00:00,REGULAR,4389701,7556857
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,01/02/2021,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,01/02/2021,03:00:00,REGULAR,5055408,2925517
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,01/02/2021,03:00:00,REGULAR,476387,1607940
A013,R081,01-00-00,49 ST,NQRW,BMT,01/02/2021,03:00:00,REGULAR,6243638,38826525
A014,R081,02-00-00,49 ST,NQRW,BMT,01/02/2021,03:00:00,REGULAR,2721,1367
A015,R081,00-00-00,49 ST,NQRW,BMT,01/02/2021,03:00:00,REGULAR,13075545,4294892
A016,R081,03-00-00,49 ST,NQRW,BMT,01/02/2021,03:00:00,REGULAR,4065810,5016745
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,01/02/2021,03:00:00,REGULAR,9858158,12322186
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/02/2021,03:00:00,REGULAR,28688662,12101715
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,01/02/2021,03:00:00,REGULAR,5460985,10432919
A027,R082,01-00-00,28 ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,3905742,4740803
A029,R082,00-00-00,28 ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,4370615,15923877
A030,R083,01-00-00,23 ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,45860,49742
A031,R083,00-00-00,23 ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,1916559,1092020
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/02/2021,00:00:00,REGULAR,360234,1138583
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/02/2021,00:00:00,REGULAR,2266837,17736470
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/02/2021,00:00:00,REGULAR,226891,558158
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,01/02/2021,00:00:00,REGULAR,1166990,769621
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,01/02/2021,03:00:00,REGULAR,4026667,3580070
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,01/02/2021,03:00:00,REGULAR,986,4461
A041,R086,00-00-00,PRINCE ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,12633070,4796916
A042,R086,01-00-00,PRINCE ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,1393618,9395165
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,01/02/2021,00:00:00,REGULAR,371712288,456581175
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,01/02/2021,00:00:00,REGULAR,4259314,425110
A047,R087,00-00-00,CITY HALL,NRW,BMT,01/02/2021,03:00:00,REGULAR,21383,25843
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,01/02/2021,00:00:00,REGULAR,898090,1361327
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,01/02/2021,00:00:00,REGULAR,561,1974
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,01/02/2021,00:00:00,REGULAR,238908,242124
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,01/02/2021,00:00:00,REGULAR,1158674,642203
A054,R227,01-00-00,RECTOR ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,5553240,8054324
A055,R227,00-00-00,RECTOR ST,NRW,BMT,01/02/2021,03:00:00,REGULAR,1310222,505728
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,01/02/2021,00:00:00,REGULAR,1923296,4507265
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,01/02/2021,00:00:00,REGULAR,5221773,2993152
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,01/02/2021,00:00:00,REGULAR,14063998,12463072
A064,R311,00-00-00,BOWERY,JZ,BMT,01/02/2021,03:00:00,REGULAR,6144299,4338546
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,01/02/2021,00:00:00,REGULAR,1722774074,1763616505
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,01/02/2021,03:00:00,REGULAR,179912,1020906
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,01/02/2021,03:00:00,REGULAR,175406,98286
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,01/02/2021,02:00:00,REGULAR,389928,114932
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,01/02/2021,02:00:00,REGULAR,214109,1283361
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,01/02/2021,02:00:00,REGULAR,33554919,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,01/02/2021,00:00:00,REGULAR,5980748,2193867
A084,R125,01-00-00,BROAD ST,JZ,BMT,01/02/2021,00:00:00,REGULAR,303942,12772
A085,R125,02-05-00,BROAD ST,JZ,BMT,01/02/2021,00:00:00,REGULAR,0,1131
B004,R171,00-00-00,7 AV,BQ,BMT,01/02/2021,00:00:00,REGULAR,7755908,5768509
B009,R411,00-00-00,PARK PLACE,S,BMT,01/02/2021,00:00:00,REGULAR,6697467,5928891
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,01/02/2021,00:00:00,REGULAR,195784,307644
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,01/02/2021,03:00:00,REGULAR,1569246840,785995574
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,01/02/2021,03:00:00,REGULAR,55266,212063
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,01/02/2021,00:00:00,REGULAR,10880251,17696919
B015,R098,01-00-00,CHURCH AV,BQ,BMT,01/02/2021,03:00:00,REGULAR,3537603,2125261
B016,R098,00-00-00,CHURCH AV,BQ,BMT,01/02/2021,03:00:00,REGULAR,9228528,18170278
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,01/02/2021,03:00:00,REGULAR,5067106,2535755
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,01/02/2021,03:00:00,REGULAR,76132,36774
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,01/02/2021,00:00:00,REGULAR,18075171,17063886
B020,R263,00-00-00,AVENUE H,BQ,BMT,01/02/2021,03:00:00,REGULAR,29226,13164
B021,R228,00-00-00,AVENUE J,BQ,BMT,01/02/2021,03:00:00,REGULAR,9497862,7997721
