C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/17/2021,00:00:00,REGULAR,7557815,2581231
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/17/2021,02:00:00,REGULAR,4440878,7644747
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/17/2021,02:00:00,REGULAR,3668,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/17/2021,00:00:00,REGULAR,5108393,3000903
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/17/2021,00:00:00,REGULAR,486036,1617744
A013,R081,01-00-00,49 ST,NQRW,BMT,04/17/2021,00:00:00,REGULAR,6253434,38907007
A014,R081,02-00-00,49 ST,NQRW,BMT,04/17/2021,00:00:00,REGULAR,33771,16530
A015,R081,00-00-00,49 ST,NQRW,BMT,04/17/2021,00:00:00,REGULAR,13092857,4308557
A016,R081,03-00-00,49 ST,NQRW,BMT,04/17/2021,00:00:00,REGULAR,4075111,5068043
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/17/2021,00:00:00,REGULAR,9945387,12458619
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/17/2021,00:00:00,REGULAR,28790211,12183930
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/17/2021,00:00:00,REGULAR,5534958,10589591
A027,R082,01-00-00,28 ST,NRW,BMT,04/17/2021,00:00:00,REGULAR,3931262,4799132
A029,R082,00-00-00,28 ST,NRW,BMT,04/17/2021,00:00:00,REGULAR,4379823,16003773
A030,R083,01-00-00,23 ST,NRW,BMT,04/17/2021,00:00:00,REGULAR,75610,84489
A031,R083,00-00-00,23 ST,NRW,BMT,04/17/2021,00:00:00,REGULAR,1961923,1121527
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/17/2021,01:00:00,REGULAR,372298,1194437
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/17/2021,01:00:00,REGULAR,2287130,17902743
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/17/2021,01:00:00,REGULAR,231212,567423
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/17/2021,01:00:00,REGULAR,1255379,851513
