C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/29/2021,00:00:00,REGULAR,7578734,2590325
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/29/2021,02:00:00,REGULAR,4464941,7686813
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/29/2021,02:00:00,REGULAR,3672,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,05/29/2021,00:00:00,REGULAR,5135598,3043226
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,05/29/2021,00:00:00,REGULAR,491133,1626443
A013,R081,01-00-00,49 ST,NQRW,BMT,05/29/2021,00:00:00,REGULAR,6258034,38952839
A014,R081,02-00-00,49 ST,NQRW,BMT,05/29/2021,00:00:00,REGULAR,49833,24635
A015,R081,00-00-00,49 ST,NQRW,BMT,05/29/2021,00:00:00,REGULAR,13103866,4315441
A016,R081,03-00-00,49 ST,NQRW,BMT,05/29/2021,00:00:00,REGULAR,4081036,5093166
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,05/29/2021,00:00:00,REGULAR,9986327,12523278
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,05/29/2021,00:00:00,REGULAR,28841552,12227787
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,05/29/2021,00:00:00,REGULAR,5570929,10662105
A027,R082,01-00-00,28 ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,3943856,4830643
A029,R082,00-00-00,28 ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,4385249,16045610
A030,R083,01-00-00,23 ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,90854,102374
A031,R083,00-00-00,23 ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,1984000,1135906
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/29/2021,01:00:00,REGULAR,378769,1226445
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/29/2021,01:00:00,REGULAR,2298376,17997335
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/29/2021,01:00:00,REGULAR,233313,572521
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,05/29/2021,01:00:00,REGULAR,1299371,893547
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,05/29/2021,00:00:00,REGULAR,4057522,3632026
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,05/29/2021,00:00:00,REGULAR,20943,101129
A041,R086,00-00-00,PRINCE ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,12699295,4833556
A042,R086,01-00-00,PRINCE ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,1403503,9497519
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,05/29/2021,01:00:00,REGULAR,371761802,456662473
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,05/29/2021,01:00:00,REGULAR,4270150,429988
A047,R087,00-00-00,CITY HALL,NRW,BMT,05/29/2021,00:00:00,REGULAR,32751,42146
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,05/29/2021,01:00:00,REGULAR,909934,1404945
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,05/29/2021,01:00:00,REGULAR,3256,10682
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,05/29/2021,01:00:00,REGULAR,254567,258532
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,05/29/2021,01:00:00,REGULAR,1164963,677547
A054,R227,01-00-00,RECTOR ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,5568618,8091582
A055,R227,00-00-00,RECTOR ST,NRW,BMT,05/29/2021,00:00:00,REGULAR,1334429,513144
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,05/29/2021,01:00:00,REGULAR,1946805,4591550
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,05/29/2021,01:00:00,REGULAR,5344803,3042974
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,05/29/2021,01:00:00,REGULAR,14177740,12589769
A064,R311,00-00-00,BOWERY,JZ,BMT,05/29/2021,00:00:00,REGULAR,6181150,4396581
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,05/29/2021,01:00:00,REGULAR,1722655753,1763766572
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,05/29/2021,00:00:00,REGULAR,194825,1192691
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,05/29/2021,00:00:00,REGULAR,178896,101271
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,05/29/2021,03:00:00,REGULAR,423299,130688
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,05/29/2021,03:00:00,REGULAR,217541,1320346
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,05/29/2021,03:00:00,REGULAR,33554932,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,05/29/2021,01:00:00,REGULAR,6025298,2203979
A084,R125,01-00-00,BROAD ST,JZ,BMT,05/29/2021,01:00:00,REGULAR,316920,14848
A085,R125,02-05-00,BROAD ST,JZ,BMT,05/29/2021,01:00:00,REGULAR,0,1141
B004,R171,00-00-00,7 AV,BQ,BMT,05/29/2021,01:00:00,REGULAR,7855025,5885935
B009,R411,00-00-00,PARK PLACE,S,BMT,05/29/2021,01:00:00,REGULAR,6724478,5966554
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,05/29/2021,01:00:00,REGULAR,231475,379025
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,05/29/2021,00:00:00,REGULAR,1569326819,785896817
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,05/29/2021,00:00:00,REGULAR,103422,399931
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,05/29/2021,01:00:00,REGULAR,10953260,17878710
B015,R098,01-00-00,CHURCH AV,BQ,BMT,05/29/2021,00:00:00,REGULAR,3559859,2151485
B016,R098,00-00-00,CHURCH AV,BQ,BMT,05/29/2021,00:00:00,REGULAR,9275005,18302308
