C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/24/2021,00:00:00,REGULAR,7561288,2582898
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/24/2021,02:00:00,REGULAR,4444840,7651697
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/24/2021,02:00:00,REGULAR,3669,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/24/2021,00:00:00,REGULAR,5112863,3008037
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/24/2021,00:00:00,REGULAR,486824,1618474
A013,R081,01-00-00,49 ST,NQRW,BMT,04/24/2021,00:00:00,REGULAR,6254181,38914134
A014,R081,02-00-00,49 ST,NQRW,BMT,04/24/2021,00:00:00,REGULAR,36221,17806
A015,R081,00-00-00,49 ST,NQRW,BMT,04/24/2021,00:00:00,REGULAR,13094476,4309553
A016,R081,03-00-00,49 ST,NQRW,BMT,04/24/2021,00:00:00,REGULAR,4075952,5071993
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/24/2021,00:00:00,REGULAR,9952119,12468693
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/24/2021,00:00:00,REGULAR,28798171,12190760
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/24/2021,00:00:00,REGULAR,5540667,10601170
A027,R082,01-00-00,28 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,3933369,4803955
A029,R082,00-00-00,28 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,4380695,16010156
A030,R083,01-00-00,23 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,77996,87272
A031,R083,00-00-00,23 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,1965494,1123803
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/24/2021,01:00:00,REGULAR,373224,1199698
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/24/2021,01:00:00,REGULAR,2289073,17918691
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/24/2021,01:00:00,REGULAR,231560,568186
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/24/2021,01:00:00,REGULAR,1262509,857947
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,04/24/2021,00:00:00,REGULAR,4048762,3615522
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,04/24/2021,00:00:00,REGULAR,14522,72211
A041,R086,00-00-00,PRINCE ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,12681180,4822518
A042,R086,01-00-00,PRINCE ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,1400335,9466228
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,04/24/2021,01:00:00,REGULAR,371748404,456637799
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,04/24/2021,01:00:00,REGULAR,4266688,428699
A047,R087,00-00-00,CITY HALL,NRW,BMT,04/24/2021,00:00:00,REGULAR,29437,37814
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,04/24/2021,01:00:00,REGULAR,906521,1392910
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,04/24/2021,01:00:00,REGULAR,2296,8095
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,04/24/2021,01:00:00,REGULAR,250251,253678
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,04/24/2021,01:00:00,REGULAR,1163174,666410
A054,R227,01-00-00,RECTOR ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,5564470,8081217
A055,R227,00-00-00,RECTOR ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,1327644,511151
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,04/24/2021,01:00:00,REGULAR,1939674,4564525
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,04/24/2021,01:00:00,REGULAR,5311264,3029280
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,04/24/2021,01:00:00,REGULAR,14148905,12555172
A064,R311,00-00-00,BOWERY,JZ,BMT,04/24/2021,00:00:00,REGULAR,6170694,4381173
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,04/24/2021,01:00:00,REGULAR,1722689781,1763728915
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,04/24/2021,00:00:00,REGULAR,193337,1137869
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,04/24/2021,00:00:00,REGULAR,177995,100435
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,04/24/2021,03:00:00,REGULAR,414239,126787
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,04/24/2021,03:00:00,REGULAR,216462,1309581
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,04/24/2021,03:00:00,REGULAR,33554932,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,04/24/2021,01:00:00,REGULAR,6013839,2201326
A084,R125,01-00-00,BROAD ST,JZ,BMT,04/24/2021,01:00:00,REGULAR,313491,14374
A085,R125,02-05-00,BROAD ST,JZ,BMT,04/24/2021,01:00:00,REGULAR,0,1139
B004,R171,00-00-00,7 AV,BQ,BMT,04/24/2021,01:00:00,REGULAR,7825417,5851091
B009,R411,00-00-00,PARK PLACE,S,BMT,04/24/2021,01:00:00,REGULAR,6716799,5956441
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,04/24/2021,01:00:00,REGULAR,221275,357514
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,04/24/2021,00:00:00,REGULAR,1569304680,785926159
B013,R196,01-00-00,PROSPECT PARK,BQS,BMT,04/24/2021,00:00:00,REGULAR,88605,345892
B014,R148,00-00-00,PARKSIDE AV,BQ,BMT,04/24/2021,01:00:00,REGULAR,10933089,17830060
B015,R098,01-00-00,CHURCH AV,BQ,BMT,04/24/2021,00:00:00,REGULAR,3553735,2143338
B016,R098,00-00-00,CHURCH AV,BQ,BMT,04/24/2021,00:00:00,REGULAR,9263140,18267088
B017,R262,00-00-00,BEVERLEY ROAD,BQ,BMT,04/24/2021,00:00:00,REGULAR,5122384,2568589
B018,R184,00-00-00,CORTELYOU RD,BQ,BMT,04/24/2021,00:00:00,REGULAR,170255,85703
B019,R149,00-00-00,NEWKIRK PLAZA,BQ,BMT,04/24/2021,01:00:00,REGULAR,18187149,17171225
B020,R263,00-00-00,AVENUE H,BQ,BMT,04/24/2021,00:00:00,REGULAR,43426,20396
B021,R228,00-00-00,AVENUE J,BQ,BMT,04/24/2021,00:00:00,REGULAR,9520686,8038767
B022,R229,00-00-00,AVENUE M,BQ,BMT,04/24/2021,00:00:00,REGULAR,20645,59199
B023,R211,01-05-00,KINGS HWY,BQ,BMT,04/24/2021,00:00:00,REGULAR,880,0
B024,R211,00-00-00,KINGS HWY,BQ,BMT,04/24/2021,00:00:00,REGULAR,17340466,11315594
B024A,R211,02-00-00,KINGS HWY,BQ,BMT,04/24/2021,00:00:00,REGULAR,244798,309969
B025,R150,00-00-00,AVENUE U,BQ,BMT,04/24/2021,01:00:00,REGULAR,6311506,3867678
B026,R230,00-00-00,NECK RD,BQ,BMT,04/24/2021,00:00:00,REGULAR,306671,432501
B027,R136,00-00-00,SHEEPSHEAD BAY,BQ,BMT,04/24/2021,01:00:00,REGULAR,2220933,9045063
B028,R136,01-00-00,SHEEPSHEAD BAY,BQ,BMT,04/24/2021,01:00:00,REGULAR,2099767,280004
B029,R172,00-00-00,BRIGHTON BEACH,BQ,BMT,04/24/2021,00:00:00,REGULAR,13938640,10535434
B031,R172,01-00-00,BRIGHTON BEACH,BQ,BMT,04/24/2021,00:00:00,REGULAR,6476908,8826631
B032,R264,00-00-00,OCEAN PKWY,Q,BMT,04/24/2021,00:00:00,REGULAR,52799,35016
B034,R264,01-05-00,OCEAN PKWY,Q,BMT,04/24/2021,00:00:00,REGULAR,5898578,5898330
C001,R108,01-00-00,BOROUGH HALL,R2345,BMT,04/24/2021,00:00:00,REGULAR,831423,587582
C003,R089,00-00-00,JAY ST-METROTEC,R,BMT,04/24/2021,00:00:00,REGULAR,11908898,10153976
C004,R089,01-05-00,JAY ST-METROTEC,R,BMT,04/24/2021,00:00:00,REGULAR,134218223,0
C008,R099,00-00-00,DEKALB AV,BDNQR,BMT,04/24/2021,00:00:00,REGULAR,1999581332,1850997722
C009,R057,03-00-00,ATL AV-BARCLAY,BDNQR2345,BMT,04/24/2021,00:00:00,REGULAR,716495,1495501
C010,R231,00-00-00,UNION ST,R,BMT,04/24/2021,00:00:00,REGULAR,6755256,2334764
C011,R231,01-00-00,UNION ST,R,BMT,04/24/2021,00:00:00,REGULAR,4220716,13743807
C012,R258,01-00-00,4AV-9 ST,DFGMNR,BMT,04/24/2021,00:00:00,REGULAR,11653683,4606720
C014,R246,00-00-00,PROSPECT AV,R,BMT,04/24/2021,00:00:00,REGULAR,13311740,3087035
C015,R246,01-00-00,PROSPECT AV,R,BMT,04/24/2021,00:00:00,REGULAR,1066381,11742710
C016,R278,00-00-00,25 ST,R,BMT,04/24/2021,00:00:00,REGULAR,1990447,1753942
C017,R455,00-00-00,25 ST,R,BMT,04/24/2021,00:00:00,REGULAR,4404188,8402667
C018,R197,00-00-00,36 ST,DNR,BMT,04/24/2021,01:00:00,REGULAR,212534,315595
C019,R232,00-00-00,45 ST,R,BMT,04/24/2021,00:00:00,REGULAR,5303829,8581251
C020,R233,00-00-00,53 ST,R,BMT,04/24/2021,00:00:00,REGULAR,11457987,5468472
C021,R212,00-00-00,59 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,9495167,4949792
C022,R212,01-00-00,59 ST,NRW,BMT,04/24/2021,00:00:00,REGULAR,688157,725581
C023,R213,00-00-00,BAY RIDGE AV,R,BMT,04/24/2021,00:00:00,REGULAR,3359221,3656332
C024,R214,00-00-00,77 ST,R,BMT,04/24/2021,00:00:00,REGULAR,9145277,2065530
C025,R215,00-00-00,86 ST,R,BMT,04/24/2021,00:00:00,REGULAR,382302,525156
C026,R215,01-05-00,86 ST,R,BMT,04/24/2021,00:00:00,REGULAR,458827,0
C027,R216,00-00-00,BAY RIDGE-95 ST,R,BMT,04/24/2021,00:00:00,REGULAR,5326744,7361832
C028,R216,01-05-00,BAY RIDGE-95 ST,R,BMT,04/24/2021,00:00:00,REGULAR,1324,0
D001,R390,01-00-00,8 AV,N,BMT,04/24/2021,01:00:00,REGULAR,257970,224465
D002,R390,00-00-00,8 AV,N,BMT,04/24/2021,01:00:00,REGULAR,215920,645711
D003,R391,00-00-00,FT HAMILTON PKY,N,BMT,04/24/2021,01:00:00,REGULAR,2913879,2975789
D004,R391,01-05-00,FT HAMILTON PKY,N,BMT,04/24/2021,01:00:00,REGULAR,245,0
D005,R398,00-00-00,NEW UTRECHT AV,ND,BMT,04/24/2021,01:00:00,REGULAR,152117,36856
D006,R398,01-05-00,NEW UTRECHT AV,ND,BMT,04/24/2021,01:00:00,REGULAR,589828,0
D008,R392,00-00-00,18 AV,N,BMT,04/24/2021,01:00:00,REGULAR,8062603,7925584
D009,R393,00-00-00,20 AV,N,BMT,04/24/2021,01:00:00,REGULAR,363587,281896
D010,R394,00-00-00,BAY PKWY,N,BMT,04/24/2021,01:00:00,REGULAR,3300336,906725
D011,R394,01-05-00,BAY PKWY,N,BMT,04/24/2021,01:00:00,REGULAR,575996165,672530542
D012,R395,00-00-00,KINGS HWY,N,BMT,04/24/2021,01:00:00,REGULAR,4505375,4998808
D015,R396,00-00-00,AVENUE U,N,BMT,04/24/2021,01:00:00,REGULAR,4166250,5897077
D016,R397,00-00-00,86 ST,N,BMT,04/24/2021,01:00:00,REGULAR,207111,551984
E001,R368,00-00-00,9 AV,D,BMT,04/24/2021,01:00:00,REGULAR,9027690,11110012
E003,R369,00-00-00,FT HAMILTON PKY,D,BMT,04/24/2021,01:00:00,REGULAR,2205921,998616
E004,R234,00-00-00,50 ST,D,BMT,04/24/2021,00:00:00,REGULAR,6271038,5835312
E005,R247,00-00-00,55 ST,D,BMT,04/24/2021,00:00:00,REGULAR,7440796,4225335
E009,R370,00-00-00,71 ST,D,BMT,04/24/2021,00:00:00,REGULAR,8564932,7811332
E011,R371,00-00-00,79 ST,D,BMT,04/24/2021,00:00:00,REGULAR,11958924,9228397
E012,R372,00-00-00,18 AV,D,BMT,04/24/2021,00:00:00,REGULAR,15613987,11620290
E013,R373,00-00-00,20 AV,D,BMT,04/24/2021,00:00:00,REGULAR,206585,60027
