C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2021,00:00:00,REGULAR,7554561,2579710
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/10/2021,02:00:00,REGULAR,4437127,7638536
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/10/2021,02:00:00,REGULAR,3663,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/10/2021,00:00:00,REGULAR,5104264,2994665
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/10/2021,00:00:00,REGULAR,485316,1617082
A013,R081,01-00-00,49 ST,NQRW,BMT,04/10/2021,00:00:00,REGULAR,6252672,38900536
A014,R081,02-00-00,49 ST,NQRW,BMT,04/10/2021,00:00:00,REGULAR,31362,15444
A015,R081,00-00-00,49 ST,NQRW,BMT,04/10/2021,00:00:00,REGULAR,13091358,4307561
A016,R081,03-00-00,49 ST,NQRW,BMT,04/10/2021,00:00:00,REGULAR,4074385,5064403
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/10/2021,00:00:00,REGULAR,9938939,12449128
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/10/2021,00:00:00,REGULAR,28782478,12177771
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/10/2021,00:00:00,REGULAR,5529640,10578270
A027,R082,01-00-00,28 ST,NRW,BMT,04/10/2021,00:00:00,REGULAR,3929196,4794589
A029,R082,00-00-00,28 ST,NRW,BMT,04/10/2021,00:00:00,REGULAR,4379203,15997772
A030,R083,01-00-00,23 ST,NRW,BMT,04/10/2021,00:00:00,REGULAR,73394,81971
A031,R083,00-00-00,23 ST,NRW,BMT,04/10/2021,00:00:00,REGULAR,1958692,1119247
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/10/2021,01:00:00,REGULAR,371322,1189730
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/10/2021,01:00:00,REGULAR,2285809,17889608
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,04/10/2021,01:00:00,REGULAR,230902,566707
